Radionuclide	Sr-90
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
43	7.9E-2	2.6E-4	2.0E-4	3.9E-4	6.4E-2	1.2E-2
44	7.9E-2	2.6E-4	2.0E-4	3.9E-4	6.3E-2	1.2E-2
45	7.8E-2	2.6E-4	2.0E-4	3.8E-4	6.3E-2	1.2E-2
46	7.8E-2	2.5E-4	1.9E-4	3.8E-4	6.2E-2	1.2E-2
47	7.8E-2	2.5E-4	1.9E-4	3.7E-4	6.2E-2	1.2E-2
48	7.7E-2	2.5E-4	1.9E-4	3.7E-4	6.2E-2	1.2E-2
49	7.7E-2	2.4E-4	1.9E-4	3.6E-4	6.1E-2	1.2E-2
50	7.6E-2	2.4E-4	1.9E-4	3.6E-4	6.1E-2	1.2E-2
51	7.6E-2	2.4E-4	1.8E-4	3.6E-4	6.0E-2	1.2E-2
52	7.5E-2	2.4E-4	1.8E-4	3.5E-4	6.0E-2	1.2E-2
53	7.5E-2	2.3E-4	1.8E-4	3.5E-4	5.9E-2	1.2E-2
54	7.5E-2	2.3E-4	1.8E-4	3.5E-4	5.9E-2	1.2E-2
55	7.4E-2	2.3E-4	1.8E-4	3.4E-4	5.9E-2	1.3E-2
56	7.4E-2	2.3E-4	1.8E-4	3.4E-4	5.8E-2	1.3E-2
57	7.3E-2	2.2E-4	1.7E-4	3.4E-4	5.8E-2	1.3E-2
58	7.3E-2	2.2E-4	1.7E-4	3.3E-4	5.7E-2	1.3E-2
59	7.3E-2	2.2E-4	1.7E-4	3.3E-4	5.7E-2	1.3E-2
60	7.2E-2	2.2E-4	1.7E-4	3.3E-4	5.7E-2	1.3E-2
61	7.2E-2	2.1E-4	1.7E-4	3.2E-4	5.6E-2	1.3E-2
62	7.1E-2	2.1E-4	1.7E-4	3.2E-4	5.6E-2	1.3E-2
63	7.1E-2	2.1E-4	1.7E-4	3.2E-4	5.5E-2	1.3E-2
64	7.1E-2	2.1E-4	1.6E-4	3.2E-4	5.5E-2	1.3E-2
65	7.0E-2	2.1E-4	1.6E-4	3.1E-4	5.5E-2	1.3E-2
66	7.0E-2	2.1E-4	1.6E-4	3.1E-4	5.4E-2	1.3E-2
67	6.9E-2	2.0E-4	1.6E-4	3.1E-4	5.4E-2	1.3E-2
68	6.9E-2	2.0E-4	1.6E-4	3.0E-4	5.4E-2	1.3E-2
69	6.9E-2	2.0E-4	1.6E-4	3.0E-4	5.3E-2	1.3E-2
70	6.8E-2	2.0E-4	1.6E-4	3.0E-4	5.3E-2	1.3E-2
71	6.8E-2	2.0E-4	1.5E-4	3.0E-4	5.2E-2	1.3E-2
72	6.8E-2	2.0E-4	1.5E-4	3.0E-4	5.2E-2	1.3E-2
73	6.7E-2	1.9E-4	1.5E-4	2.9E-4	5.2E-2	1.3E-2
74	6.7E-2	1.9E-4	1.5E-4	2.9E-4	5.1E-2	1.3E-2
75	6.7E-2	1.9E-4	1.5E-4	2.9E-4	5.1E-2	1.3E-2
76	6.6E-2	1.9E-4	1.5E-4	2.9E-4	5.1E-2	1.3E-2
77	6.6E-2	1.9E-4	1.5E-4	2.8E-4	5.0E-2	1.3E-2
78	6.6E-2	1.9E-4	1.5E-4	2.8E-4	5.0E-2	1.3E-2
79	6.5E-2	1.9E-4	1.5E-4	2.8E-4	5.0E-2	1.3E-2
80	6.5E-2	1.8E-4	1.4E-4	2.8E-4	4.9E-2	1.3E-2
81	6.5E-2	1.8E-4	1.4E-4	2.7E-4	4.9E-2	1.3E-2
82	6.4E-2	1.8E-4	1.4E-4	2.7E-4	4.9E-2	1.3E-2
83	6.4E-2	1.8E-4	1.4E-4	2.7E-4	4.8E-2	1.3E-2
84	6.4E-2	1.8E-4	1.4E-4	2.7E-4	4.8E-2	1.3E-2
85	6.3E-2	1.8E-4	1.4E-4	2.7E-4	4.8E-2	1.3E-2
86	6.3E-2	1.8E-4	1.4E-4	2.6E-4	4.7E-2	1.3E-2
87	6.3E-2	1.8E-4	1.4E-4	2.6E-4	4.7E-2	1.3E-2
88	6.2E-2	1.7E-4	1.4E-4	2.6E-4	4.7E-2	1.4E-2
89	6.2E-2	1.7E-4	1.3E-4	2.6E-4	4.6E-2	1.4E-2
90	6.2E-2	1.7E-4	1.3E-4	2.6E-4	4.6E-2	1.4E-2
91	6.1E-2	1.7E-4	1.3E-4	2.6E-4	4.6E-2	1.4E-2
92	6.1E-2	1.7E-4	1.3E-4	2.5E-4	4.5E-2	1.4E-2
93	6.1E-2	1.7E-4	1.3E-4	2.5E-4	4.5E-2	1.4E-2
94	6.1E-2	1.7E-4	1.3E-4	2.5E-4	4.5E-2	1.4E-2
95	6.0E-2	1.7E-4	1.3E-4	2.5E-4	4.4E-2	1.4E-2
96	6.0E-2	1.7E-4	1.3E-4	2.5E-4	4.4E-2	1.4E-2
97	6.0E-2	1.6E-4	1.3E-4	2.4E-4	4.4E-2	1.4E-2
98	5.9E-2	1.6E-4	1.3E-4	2.4E-4	4.4E-2	1.4E-2
99	5.9E-2	1.6E-4	1.3E-4	2.4E-4	4.3E-2	1.4E-2
100	5.9E-2	1.6E-4	1.2E-4	2.4E-4	4.3E-2	1.4E-2
110	5.6E-2	1.5E-4	1.2E-4	2.2E-4	4.0E-2	1.4E-2
120	5.3E-2	1.4E-4	1.1E-4	2.1E-4	3.7E-2	1.4E-2
130	5.1E-2	1.3E-4	1.0E-4	1.9E-4	3.5E-2	1.4E-2
140	4.9E-2	1.3E-4	9.3E-5	1.8E-4	3.3E-2	1.4E-2
150	4.7E-2	1.2E-4	8.6E-5	1.7E-4	3.1E-2	1.4E-2
160	4.5E-2	1.1E-4	8.0E-5	1.6E-4	2.9E-2	1.5E-2
170	4.3E-2	1.1E-4	7.5E-5	1.5E-4	2.7E-2	1.5E-2
180	4.1E-2	9.9E-5	6.9E-5	1.4E-4	2.5E-2	1.5E-2
190	3.9E-2	9.3E-5	6.5E-5	1.3E-4	2.3E-2	1.5E-2
200	3.8E-2	8.8E-5	6.0E-5	1.2E-4	2.2E-2	1.5E-2
210	3.6E-2	8.3E-5	5.6E-5	1.1E-4	2.0E-2	1.5E-2
220	3.5E-2	7.8E-5	5.2E-5	1.0E-4	1.9E-2	1.5E-2
230	3.4E-2	7.4E-5	4.9E-5	9.7E-5	1.8E-2	1.5E-2
240	3.2E-2	6.9E-5	4.5E-5	9.0E-5	1.7E-2	1.5E-2
250	3.1E-2	6.6E-5	4.2E-5	8.4E-5	1.6E-2	1.5E-2
260	3.0E-2	6.2E-5	3.9E-5	7.9E-5	1.5E-2	1.5E-2
270	2.9E-2	5.8E-5	3.7E-5	7.4E-5	1.4E-2	1.5E-2
280	2.8E-2	5.5E-5	3.4E-5	6.9E-5	1.3E-2	1.5E-2
290	2.7E-2	5.2E-5	3.2E-5	6.5E-5	1.2E-2	1.4E-2
300	2.7E-2	4.9E-5	3.0E-5	6.1E-5	1.1E-2	1.4E-2
310	2.6E-2	4.6E-5	2.8E-5	5.7E-5	1.1E-2	1.4E-2
320	2.5E-2	4.4E-5	2.6E-5	5.3E-5	1.0E-2	1.4E-2
330	2.4E-2	4.2E-5	2.4E-5	5.0E-5	9.4E-3	1.4E-2
340	2.4E-2	3.9E-5	2.3E-5	4.7E-5	8.8E-3	1.4E-2
350	2.3E-2	3.7E-5	2.1E-5	4.4E-5	8.3E-3	1.4E-2
360	2.2E-2	3.5E-5	2.0E-5	4.2E-5	7.8E-3	1.4E-2
365	2.2E-2	3.4E-5	1.9E-5	4.0E-5	7.5E-3	1.4E-2
370	2.2E-2	3.3E-5	1.9E-5	3.9E-5	7.3E-3	1.4E-2
380	2.1E-2	3.2E-5	1.7E-5	3.7E-5	6.9E-3	1.4E-2
390	2.1E-2	3.0E-5	1.6E-5	3.5E-5	6.4E-3	1.4E-2
400	2.0E-2	2.8E-5	1.5E-5	3.3E-5	6.1E-3	1.4E-2
410	2.0E-2	2.7E-5	1.4E-5	3.1E-5	5.7E-3	1.4E-2
420	2.0E-2	2.5E-5	1.3E-5	2.9E-5	5.3E-3	1.4E-2
430	1.9E-2	2.4E-5	1.3E-5	2.7E-5	5.0E-3	1.4E-2
440	1.9E-2	2.3E-5	1.2E-5	2.6E-5	4.7E-3	1.4E-2
450	1.8E-2	2.2E-5	1.1E-5	2.4E-5	4.4E-3	1.4E-2
460	1.8E-2	2.1E-5	1.0E-5	2.3E-5	4.2E-3	1.4E-2
470	1.8E-2	2.0E-5	9.8E-6	2.2E-5	3.9E-3	1.4E-2
480	1.8E-2	1.9E-5	9.2E-6	2.1E-5	3.7E-3	1.4E-2
490	1.7E-2	1.8E-5	8.7E-6	2.0E-5	3.5E-3	1.3E-2
500	1.7E-2	1.7E-5	8.1E-6	1.9E-5	3.3E-3	1.3E-2
510	1.7E-2	1.6E-5	7.7E-6	1.8E-5	3.1E-3	1.3E-2
520	1.6E-2	1.5E-5	7.2E-6	1.7E-5	2.9E-3	1.3E-2
530	1.6E-2	1.5E-5	6.8E-6	1.6E-5	2.7E-3	1.3E-2
540	1.6E-2	1.4E-5	6.4E-6	1.5E-5	2.6E-3	1.3E-2
550	1.6E-2	1.3E-5	6.0E-6	1.4E-5	2.4E-3	1.3E-2
560	1.6E-2	1.3E-5	5.7E-6	1.4E-5	2.3E-3	1.3E-2
570	1.5E-2	1.2E-5	5.4E-6	1.3E-5	2.2E-3	1.3E-2
580	1.5E-2	1.2E-5	5.1E-6	1.2E-5	2.0E-3	1.3E-2
590	1.5E-2	1.1E-5	4.8E-6	1.2E-5	1.9E-3	1.3E-2
600	1.5E-2	1.1E-5	4.6E-6	1.1E-5	1.8E-3	1.3E-2
610	1.5E-2	1.0E-5	4.3E-6	1.1E-5	1.7E-3	1.3E-2
620	1.5E-2	9.7E-6	4.1E-6	1.0E-5	1.6E-3	1.3E-2
630	1.4E-2	9.3E-6	3.9E-6	1.0E-5	1.5E-3	1.3E-2
640	1.4E-2	8.9E-6	3.7E-6	9.6E-6	1.4E-3	1.3E-2
650	1.4E-2	8.5E-6	3.5E-6	9.2E-6	1.4E-3	1.3E-2
660	1.4E-2	8.2E-6	3.3E-6	8.8E-6	1.3E-3	1.3E-2
670	1.4E-2	7.9E-6	3.2E-6	8.5E-6	1.2E-3	1.3E-2
680	1.4E-2	7.6E-6	3.0E-6	8.2E-6	1.2E-3	1.3E-2
690	1.4E-2	7.3E-6	2.9E-6	7.9E-6	1.1E-3	1.2E-2
700	1.4E-2	7.0E-6	2.7E-6	7.6E-6	1.0E-3	1.2E-2
710	1.4E-2	6.7E-6	2.6E-6	7.4E-6	9.7E-4	1.2E-2
720	1.3E-2	6.5E-6	2.5E-6	7.1E-6	9.2E-4	1.2E-2
730	1.3E-2	6.3E-6	2.4E-6	6.9E-6	8.7E-4	1.2E-2
740	1.3E-2	6.0E-6	2.3E-6	6.7E-6	8.2E-4	1.2E-2
750	1.3E-2	5.8E-6	2.2E-6	6.5E-6	7.8E-4	1.2E-2
760	1.3E-2	5.6E-6	2.1E-6	6.3E-6	7.3E-4	1.2E-2
770	1.3E-2	5.4E-6	2.0E-6	6.1E-6	6.9E-4	1.2E-2
780	1.3E-2	5.3E-6	1.9E-6	5.9E-6	6.6E-4	1.2E-2
790	1.3E-2	5.1E-6	1.8E-6	5.8E-6	6.2E-4	1.2E-2
800	1.3E-2	4.9E-6	1.8E-6	5.6E-6	5.9E-4	1.2E-2
810	1.3E-2	4.8E-6	1.7E-6	5.5E-6	5.6E-4	1.2E-2
820	1.3E-2	4.6E-6	1.6E-6	5.3E-6	5.3E-4	1.2E-2
830	1.3E-2	4.5E-6	1.6E-6	5.2E-6	5.0E-4	1.2E-2
840	1.2E-2	4.4E-6	1.5E-6	5.1E-6	4.7E-4	1.2E-2
850	1.2E-2	4.3E-6	1.5E-6	5.0E-6	4.5E-4	1.2E-2
860	1.2E-2	4.1E-6	1.4E-6	4.8E-6	4.2E-4	1.2E-2
870	1.2E-2	4.0E-6	1.4E-6	4.7E-6	4.0E-4	1.2E-2
880	1.2E-2	3.9E-6	1.3E-6	4.6E-6	3.8E-4	1.2E-2
890	1.2E-2	3.8E-6	1.3E-6	4.6E-6	3.6E-4	1.2E-2
900	1.2E-2	3.7E-6	1.3E-6	4.5E-6	3.4E-4	1.2E-2
910	1.2E-2	3.6E-6	1.2E-6	4.4E-6	3.2E-4	1.2E-2
920	1.2E-2	3.6E-6	1.2E-6	4.3E-6	3.1E-4	1.2E-2
930	1.2E-2	3.5E-6	1.1E-6	4.2E-6	2.9E-4	1.1E-2
940	1.2E-2	3.4E-6	1.1E-6	4.2E-6	2.7E-4	1.1E-2
950	1.2E-2	3.3E-6	1.1E-6	4.1E-6	2.6E-4	1.1E-2
960	1.2E-2	3.2E-6	1.1E-6	4.0E-6	2.5E-4	1.1E-2
970	1.2E-2	3.2E-6	1.0E-6	4.0E-6	2.3E-4	1.1E-2
980	1.2E-2	3.1E-6	1.0E-6	3.9E-6	2.2E-4	1.1E-2
990	1.2E-2	3.1E-6	9.9E-7	3.8E-6	2.1E-4	1.1E-2
1000	1.2E-2	3.0E-6	9.6E-7	3.8E-6	2.0E-4	1.1E-2
1010	1.1E-2	2.9E-6	9.4E-7	3.7E-6	1.9E-4	1.1E-2
1020	1.1E-2	2.9E-6	9.2E-7	3.7E-6	1.8E-4	1.1E-2
1030	1.1E-2	2.8E-6	9.0E-7	3.6E-6	1.7E-4	1.1E-2
1040	1.1E-2	2.8E-6	8.9E-7	3.6E-6	1.6E-4	1.1E-2
1050	1.1E-2	2.7E-6	8.7E-7	3.6E-6	1.5E-4	1.1E-2
1060	1.1E-2	2.7E-6	8.5E-7	3.5E-6	1.4E-4	1.1E-2
1070	1.1E-2	2.7E-6	8.4E-7	3.5E-6	1.4E-4	1.1E-2
1080	1.1E-2	2.6E-6	8.2E-7	3.4E-6	1.3E-4	1.1E-2
1090	1.1E-2	2.6E-6	8.1E-7	3.4E-6	1.2E-4	1.1E-2
1095	1.1E-2	2.6E-6	8.0E-7	3.4E-6	1.2E-4	1.1E-2
1100	1.1E-2	2.5E-6	7.9E-7	3.4E-6	1.2E-4	1.1E-2
1200	1.1E-2	2.2E-6	6.9E-7	3.1E-6	7.0E-5	1.1E-2
1300	1.0E-2	2.0E-6	6.2E-7	2.9E-6	4.2E-5	1.0E-2
1400	1.0E-2	1.9E-6	5.7E-7	2.7E-6	2.5E-5	9.9E-3
1500	9.8E-3	1.7E-6	5.3E-7	2.6E-6	1.5E-5	9.7E-3
1600	9.5E-3	1.6E-6	5.0E-7	2.4E-6	9.6E-6	9.4E-3
1700	9.2E-3	1.6E-6	4.7E-7	2.3E-6	6.0E-6	9.1E-3
1800	8.9E-3	1.5E-6	4.5E-7	2.2E-6	3.9E-6	8.9E-3
1900	8.7E-3	1.4E-6	4.3E-7	2.1E-6	2.6E-6	8.6E-3
2000	8.5E-3	1.4E-6	4.1E-7	2.0E-6	1.8E-6	8.4E-3
2100	8.2E-3	1.3E-6	3.9E-7	2.0E-6	1.4E-6	8.2E-3
2200	8.0E-3	1.2E-6	3.8E-7	1.9E-6	1.1E-6	7.9E-3
2300	7.8E-3	1.2E-6	3.6E-7	1.8E-6	8.7E-7	7.7E-3
2400	7.6E-3	1.1E-6	3.5E-7	1.7E-6	7.4E-7	7.5E-3
2500	7.4E-3	1.1E-6	3.3E-7	1.7E-6	6.6E-7	7.3E-3
2600	7.2E-3	1.1E-6	3.2E-7	1.6E-6	6.0E-7	7.2E-3
2700	7.0E-3	1.0E-6	3.1E-7	1.5E-6	5.6E-7	7.0E-3
2800	6.9E-3	9.7E-7	2.9E-7	1.5E-6	5.2E-7	6.8E-3
2900	6.7E-3	9.3E-7	2.8E-7	1.4E-6	4.9E-7	6.6E-3
3000	6.5E-3	8.9E-7	2.7E-7	1.3E-6	4.7E-7	6.5E-3
3100	6.4E-3	8.6E-7	2.6E-7	1.3E-6	4.5E-7	6.3E-3
3200	6.2E-3	8.2E-7	2.5E-7	1.2E-6	4.3E-7	6.2E-3
3300	6.1E-3	7.9E-7	2.4E-7	1.2E-6	4.1E-7	6.0E-3
3400	5.9E-3	7.6E-7	2.3E-7	1.1E-6	4.0E-7	5.9E-3
3500	5.8E-3	7.3E-7	2.2E-7	1.1E-6	3.8E-7	5.8E-3
3600	5.7E-3	7.1E-7	2.1E-7	1.1E-6	3.6E-7	5.6E-3
3650	5.6E-3	6.9E-7	2.1E-7	1.0E-6	3.6E-7	5.6E-3
4000	5.2E-3	6.1E-7	1.8E-7	9.1E-7	3.1E-7	5.1E-3
5000	4.2E-3	4.3E-7	1.3E-7	6.2E-7	2.1E-7	4.2E-3
6000	3.5E-3	3.1E-7	9.5E-8	4.3E-7	1.5E-7	3.5E-3
7000	2.9E-3	2.4E-7	7.1E-8	3.1E-7	1.0E-7	2.9E-3
8000	2.5E-3	1.8E-7	5.6E-8	2.2E-7	7.2E-8	2.5E-3
9000	2.1E-3	1.5E-7	4.4E-8	1.7E-7	5.3E-8	2.1E-3
10000	1.8E-3	1.2E-7	3.6E-8	1.3E-7	3.9E-8	1.8E-3
11000	1.5E-3	9.9E-8	3.0E-8	1.0E-7	3.0E-8	1.5E-3
12000	1.3E-3	8.3E-8	2.5E-8	8.0E-8	2.3E-8	1.3E-3
13000	1.2E-3	7.1E-8	2.1E-8	6.5E-8	1.8E-8	1.2E-3
14000	1.0E-3	6.0E-8	1.8E-8	5.4E-8	1.5E-8	1.0E-3
15000	8.6E-4	5.2E-8	1.6E-8	4.5E-8	1.2E-8	8.6E-4
16000	7.5E-4	4.5E-8	1.4E-8	3.8E-8	1.0E-8	7.5E-4
17000	6.5E-4	3.8E-8	1.2E-8	3.2E-8	8.4E-9	6.5E-4
18000	5.6E-4	3.3E-8	1.0E-8	2.7E-8	7.1E-9	5.6E-4
18250	5.4E-4	3.2E-8	9.7E-9	2.6E-8	6.8E-9	5.4E-4
