Radionuclide	Tm-170
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
14	2.6E-1	2.4E-4	3.4E-5	1.2E-3	6.4E-3	1.8E-1	1.6E-2
15	2.6E-1	2.2E-4	3.3E-5	1.1E-3	6.2E-3	1.8E-1	1.6E-2
16	2.5E-1	2.1E-4	3.2E-5	1.1E-3	6.1E-3	1.8E-1	1.6E-2
17	2.5E-1	2.0E-4	3.2E-5	1.1E-3	5.9E-3	1.8E-1	1.6E-2
18	2.5E-1	1.9E-4	3.1E-5	1.1E-3	5.8E-3	1.8E-1	1.6E-2
19	2.5E-1	1.8E-4	3.0E-5	1.1E-3	5.7E-3	1.8E-1	1.5E-2
20	2.5E-1	1.7E-4	2.9E-5	1.1E-3	5.5E-3	1.8E-1	1.5E-2
21	2.5E-1	1.6E-4	2.9E-5	1.1E-3	5.4E-3	1.8E-1	1.5E-2
22	2.5E-1	1.5E-4	2.8E-5	1.1E-3	5.3E-3	1.7E-1	1.5E-2
23	2.4E-1	1.4E-4	2.7E-5	1.1E-3	5.1E-3	1.7E-1	1.5E-2
24	2.4E-1	1.4E-4	2.7E-5	1.0E-3	5.0E-3	1.7E-1	1.5E-2
25	2.4E-1	1.3E-4	2.6E-5	1.0E-3	4.9E-3	1.7E-1	1.5E-2
26	2.4E-1	1.2E-4	2.5E-5	1.0E-3	4.8E-3	1.7E-1	1.5E-2
27	2.4E-1	1.2E-4	2.5E-5	1.0E-3	4.7E-3	1.7E-1	1.5E-2
28	2.4E-1	1.1E-4	2.4E-5	1.0E-3	4.6E-3	1.7E-1	1.5E-2
29	2.4E-1	1.1E-4	2.4E-5	9.9E-4	4.5E-3	1.7E-1	1.4E-2
30	2.3E-1	1.1E-4	2.3E-5	9.8E-4	4.3E-3	1.7E-1	1.4E-2
31	2.3E-1	1.0E-4	2.3E-5	9.7E-4	4.2E-3	1.7E-1	1.4E-2
32	2.3E-1	1.0E-4	2.2E-5	9.6E-4	4.1E-3	1.7E-1	1.4E-2
33	2.3E-1	9.7E-5	2.1E-5	9.5E-4	4.0E-3	1.7E-1	1.4E-2
34	2.3E-1	9.4E-5	2.1E-5	9.4E-4	3.9E-3	1.7E-1	1.4E-2
35	2.3E-1	9.1E-5	2.0E-5	9.3E-4	3.9E-3	1.7E-1	1.4E-2
36	2.3E-1	8.9E-5	2.0E-5	9.2E-4	3.8E-3	1.6E-1	1.4E-2
37	2.2E-1	8.6E-5	2.0E-5	9.1E-4	3.7E-3	1.6E-1	1.4E-2
38	2.2E-1	8.4E-5	1.9E-5	9.0E-4	3.6E-3	1.6E-1	1.4E-2
39	2.2E-1	8.2E-5	1.9E-5	8.9E-4	3.5E-3	1.6E-1	1.4E-2
40	2.2E-1	8.0E-5	1.8E-5	8.8E-4	3.4E-3	1.6E-1	1.4E-2
41	2.2E-1	7.9E-5	1.8E-5	8.7E-4	3.3E-3	1.6E-1	1.3E-2
42	2.2E-1	7.7E-5	1.7E-5	8.6E-4	3.3E-3	1.6E-1	1.3E-2
43	2.2E-1	7.5E-5	1.7E-5	8.5E-4	3.2E-3	1.6E-1	1.3E-2
44	2.2E-1	7.4E-5	1.7E-5	8.4E-4	3.1E-3	1.6E-1	1.3E-2
45	2.1E-1	7.3E-5	1.6E-5	8.3E-4	3.0E-3	1.6E-1	1.3E-2
46	2.1E-1	7.1E-5	1.6E-5	8.3E-4	3.0E-3	1.6E-1	1.3E-2
47	2.1E-1	7.0E-5	1.5E-5	8.2E-4	2.9E-3	1.6E-1	1.3E-2
48	2.1E-1	6.9E-5	1.5E-5	8.1E-4	2.8E-3	1.6E-1	1.3E-2
49	2.1E-1	6.8E-5	1.5E-5	8.0E-4	2.8E-3	1.6E-1	1.3E-2
50	2.1E-1	6.7E-5	1.4E-5	7.9E-4	2.7E-3	1.6E-1	1.3E-2
51	2.1E-1	6.6E-5	1.4E-5	7.8E-4	2.6E-3	1.5E-1	1.3E-2
52	2.1E-1	6.5E-5	1.4E-5	7.8E-4	2.6E-3	1.5E-1	1.3E-2
53	2.0E-1	6.4E-5	1.4E-5	7.7E-4	2.5E-3	1.5E-1	1.2E-2
54	2.0E-1	6.3E-5	1.3E-5	7.6E-4	2.5E-3	1.5E-1	1.2E-2
55	2.0E-1	6.2E-5	1.3E-5	7.5E-4	2.4E-3	1.5E-1	1.2E-2
56	2.0E-1	6.1E-5	1.3E-5	7.5E-4	2.4E-3	1.5E-1	1.2E-2
57	2.0E-1	6.0E-5	1.2E-5	7.4E-4	2.3E-3	1.5E-1	1.2E-2
58	2.0E-1	5.9E-5	1.2E-5	7.3E-4	2.2E-3	1.5E-1	1.2E-2
59	2.0E-1	5.8E-5	1.2E-5	7.2E-4	2.2E-3	1.5E-1	1.2E-2
60	2.0E-1	5.8E-5	1.2E-5	7.2E-4	2.1E-3	1.5E-1	1.2E-2
61	2.0E-1	5.7E-5	1.1E-5	7.1E-4	2.1E-3	1.5E-1	1.2E-2
62	1.9E-1	5.6E-5	1.1E-5	7.0E-4	2.0E-3	1.5E-1	1.2E-2
63	1.9E-1	5.5E-5	1.1E-5	6.9E-4	2.0E-3	1.5E-1	1.2E-2
64	1.9E-1	5.5E-5	1.1E-5	6.9E-4	2.0E-3	1.5E-1	1.2E-2
65	1.9E-1	5.4E-5	1.0E-5	6.8E-4	1.9E-3	1.4E-1	1.2E-2
66	1.9E-1	5.3E-5	1.0E-5	6.7E-4	1.9E-3	1.4E-1	1.1E-2
67	1.9E-1	5.3E-5	9.9E-6	6.7E-4	1.8E-3	1.4E-1	1.1E-2
68	1.9E-1	5.2E-5	9.7E-6	6.6E-4	1.8E-3	1.4E-1	1.1E-2
69	1.9E-1	5.2E-5	9.5E-6	6.5E-4	1.7E-3	1.4E-1	1.1E-2
70	1.9E-1	5.1E-5	9.3E-6	6.5E-4	1.7E-3	1.4E-1	1.1E-2
71	1.8E-1	5.0E-5	9.1E-6	6.4E-4	1.7E-3	1.4E-1	1.1E-2
72	1.8E-1	5.0E-5	8.9E-6	6.3E-4	1.6E-3	1.4E-1	1.1E-2
73	1.8E-1	4.9E-5	8.8E-6	6.3E-4	1.6E-3	1.4E-1	1.1E-2
74	1.8E-1	4.9E-5	8.6E-6	6.2E-4	1.6E-3	1.4E-1	1.1E-2
75	1.8E-1	4.8E-5	8.4E-6	6.2E-4	1.5E-3	1.4E-1	1.1E-2
76	1.8E-1	4.8E-5	8.2E-6	6.1E-4	1.5E-3	1.4E-1	1.1E-2
77	1.8E-1	4.7E-5	8.1E-6	6.0E-4	1.5E-3	1.4E-1	1.1E-2
78	1.8E-1	4.7E-5	7.9E-6	6.0E-4	1.4E-3	1.4E-1	1.1E-2
79	1.8E-1	4.6E-5	7.7E-6	5.9E-4	1.4E-3	1.4E-1	1.1E-2
80	1.8E-1	4.6E-5	7.6E-6	5.9E-4	1.4E-3	1.4E-1	1.0E-2
81	1.7E-1	4.5E-5	7.4E-6	5.8E-4	1.3E-3	1.3E-1	1.0E-2
82	1.7E-1	4.5E-5	7.3E-6	5.7E-4	1.3E-3	1.3E-1	1.0E-2
83	1.7E-1	4.4E-5	7.1E-6	5.7E-4	1.3E-3	1.3E-1	1.0E-2
84	1.7E-1	4.4E-5	7.0E-6	5.6E-4	1.2E-3	1.3E-1	1.0E-2
85	1.7E-1	4.3E-5	6.9E-6	5.6E-4	1.2E-3	1.3E-1	1.0E-2
86	1.7E-1	4.3E-5	6.7E-6	5.5E-4	1.2E-3	1.3E-1	1.0E-2
87	1.7E-1	4.2E-5	6.6E-6	5.5E-4	1.2E-3	1.3E-1	1.0E-2
88	1.7E-1	4.2E-5	6.5E-6	5.4E-4	1.1E-3	1.3E-1	1.0E-2
89	1.7E-1	4.1E-5	6.3E-6	5.4E-4	1.1E-3	1.3E-1	9.9E-3
90	1.7E-1	4.1E-5	6.2E-6	5.3E-4	1.1E-3	1.3E-1	9.8E-3
91	1.6E-1	4.1E-5	6.1E-6	5.2E-4	1.1E-3	1.3E-1	9.8E-3
92	1.6E-1	4.0E-5	6.0E-6	5.2E-4	1.0E-3	1.3E-1	9.7E-3
93	1.6E-1	4.0E-5	5.9E-6	5.1E-4	1.0E-3	1.3E-1	9.7E-3
94	1.6E-1	3.9E-5	5.8E-6	5.1E-4	9.9E-4	1.3E-1	9.6E-3
95	1.6E-1	3.9E-5	5.7E-6	5.0E-4	9.7E-4	1.3E-1	9.5E-3
96	1.6E-1	3.9E-5	5.5E-6	5.0E-4	9.5E-4	1.3E-1	9.5E-3
97	1.6E-1	3.8E-5	5.4E-6	4.9E-4	9.3E-4	1.2E-1	9.4E-3
98	1.6E-1	3.8E-5	5.3E-6	4.9E-4	9.1E-4	1.2E-1	9.4E-3
99	1.6E-1	3.7E-5	5.2E-6	4.9E-4	8.9E-4	1.2E-1	9.3E-3
100	1.6E-1	3.7E-5	5.1E-6	4.8E-4	8.7E-4	1.2E-1	9.2E-3
110	1.5E-1	3.3E-5	4.3E-6	4.4E-4	7.0E-4	1.2E-1	8.7E-3
120	1.4E-1	3.0E-5	3.6E-6	4.0E-4	5.7E-4	1.1E-1	8.1E-3
130	1.3E-1	2.8E-5	3.1E-6	3.6E-4	4.7E-4	1.1E-1	7.6E-3
140	1.2E-1	2.5E-5	2.6E-6	3.3E-4	3.8E-4	1.0E-1	7.1E-3
150	1.2E-1	2.3E-5	2.3E-6	3.0E-4	3.2E-4	9.6E-2	6.7E-3
160	1.1E-1	2.1E-5	2.0E-6	2.7E-4	2.6E-4	9.2E-2	6.3E-3
170	1.1E-1	1.9E-5	1.8E-6	2.5E-4	2.2E-4	8.7E-2	5.9E-3
180	1.0E-1	1.8E-5	1.5E-6	2.3E-4	1.9E-4	8.3E-2	5.5E-3
190	9.4E-2	1.6E-5	1.4E-6	2.1E-4	1.6E-4	7.9E-2	5.1E-3
200	8.9E-2	1.5E-5	1.2E-6	1.9E-4	1.3E-4	7.5E-2	4.8E-3
210	8.4E-2	1.4E-5	1.1E-6	1.7E-4	1.2E-4	7.1E-2	4.5E-3
220	8.0E-2	1.2E-5	1.0E-6	1.6E-4	1.0E-4	6.8E-2	4.2E-3
230	7.6E-2	1.1E-5	9.0E-7	1.5E-4	8.8E-5	6.4E-2	3.9E-3
240	7.1E-2	1.1E-5	8.2E-7	1.3E-4	7.7E-5	6.1E-2	3.7E-3
250	6.8E-2	9.8E-6	7.5E-7	1.2E-4	6.8E-5	5.8E-2	3.5E-3
260	6.4E-2	9.0E-6	6.8E-7	1.1E-4	6.1E-5	5.5E-2	3.2E-3
270	6.0E-2	8.3E-6	6.3E-7	1.0E-4	5.4E-5	5.2E-2	3.0E-3
280	5.7E-2	7.7E-6	5.8E-7	9.5E-5	4.9E-5	5.0E-2	2.8E-3
290	5.4E-2	7.1E-6	5.3E-7	8.8E-5	4.4E-5	4.7E-2	2.6E-3
300	5.1E-2	6.6E-6	4.9E-7	8.1E-5	4.0E-5	4.5E-2	2.5E-3
310	4.8E-2	6.1E-6	4.5E-7	7.5E-5	3.6E-5	4.2E-2	2.3E-3
320	4.6E-2	5.7E-6	4.2E-7	6.9E-5	3.3E-5	4.0E-2	2.2E-3
330	4.3E-2	5.3E-6	3.9E-7	6.4E-5	3.0E-5	3.8E-2	2.0E-3
340	4.1E-2	4.9E-6	3.6E-7	5.9E-5	2.8E-5	3.6E-2	1.9E-3
350	3.9E-2	4.5E-6	3.3E-7	5.5E-5	2.5E-5	3.4E-2	1.8E-3
360	3.7E-2	4.2E-6	3.1E-7	5.1E-5	2.3E-5	3.3E-2	1.7E-3
365	3.6E-2	4.1E-6	3.0E-7	4.9E-5	2.2E-5	3.2E-2	1.6E-3
370	3.5E-2	3.9E-6	2.8E-7	4.7E-5	2.1E-5	3.1E-2	1.5E-3
380	3.3E-2	3.7E-6	2.6E-7	4.4E-5	2.0E-5	2.9E-2	1.4E-3
390	3.1E-2	3.4E-6	2.5E-7	4.1E-5	1.8E-5	2.8E-2	1.4E-3
400	3.0E-2	3.2E-6	2.3E-7	3.8E-5	1.7E-5	2.6E-2	1.3E-3
410	2.8E-2	3.0E-6	2.1E-7	3.6E-5	1.6E-5	2.5E-2	1.2E-3
420	2.6E-2	2.8E-6	2.0E-7	3.3E-5	1.5E-5	2.4E-2	1.1E-3
430	2.5E-2	2.6E-6	1.9E-7	3.1E-5	1.4E-5	2.2E-2	1.0E-3
440	2.4E-2	2.4E-6	1.7E-7	2.9E-5	1.3E-5	2.1E-2	9.7E-4
450	2.2E-2	2.3E-6	1.6E-7	2.7E-5	1.2E-5	2.0E-2	9.0E-4
460	2.1E-2	2.1E-6	1.5E-7	2.5E-5	1.1E-5	1.9E-2	8.4E-4
470	2.0E-2	2.0E-6	1.4E-7	2.4E-5	1.0E-5	1.8E-2	7.9E-4
480	1.9E-2	1.8E-6	1.3E-7	2.2E-5	9.7E-6	1.7E-2	7.4E-4
490	1.8E-2	1.7E-6	1.2E-7	2.1E-5	9.1E-6	1.6E-2	6.9E-4
500	1.7E-2	1.6E-6	1.2E-7	1.9E-5	8.5E-6	1.5E-2	6.5E-4
510	1.6E-2	1.5E-6	1.1E-7	1.8E-5	7.9E-6	1.5E-2	6.0E-4
520	1.5E-2	1.4E-6	1.0E-7	1.7E-5	7.4E-6	1.4E-2	5.6E-4
530	1.4E-2	1.3E-6	9.5E-8	1.6E-5	7.0E-6	1.3E-2	5.3E-4
540	1.4E-2	1.2E-6	8.9E-8	1.5E-5	6.6E-6	1.2E-2	4.9E-4
550	1.3E-2	1.2E-6	8.3E-8	1.4E-5	6.2E-6	1.2E-2	4.6E-4
560	1.2E-2	1.1E-6	7.8E-8	1.3E-5	5.8E-6	1.1E-2	4.3E-4
570	1.2E-2	1.0E-6	7.3E-8	1.2E-5	5.4E-6	1.1E-2	4.0E-4
580	1.1E-2	9.7E-7	6.9E-8	1.2E-5	5.1E-6	1.0E-2	3.8E-4
590	1.0E-2	9.1E-7	6.4E-8	1.1E-5	4.8E-6	9.5E-3	3.5E-4
600	9.8E-3	8.6E-7	6.0E-8	1.0E-5	4.5E-6	9.0E-3	3.3E-4
610	9.3E-3	8.0E-7	5.7E-8	9.7E-6	4.3E-6	8.5E-3	3.1E-4
620	8.8E-3	7.6E-7	5.3E-8	9.1E-6	4.0E-6	8.1E-3	2.9E-4
630	8.3E-3	7.1E-7	5.0E-8	8.6E-6	3.8E-6	7.6E-3	2.7E-4
640	7.9E-3	6.7E-7	4.7E-8	8.1E-6	3.6E-6	7.2E-3	2.5E-4
650	7.5E-3	6.3E-7	4.4E-8	7.7E-6	3.4E-6	6.9E-3	2.4E-4
660	7.1E-3	5.9E-7	4.2E-8	7.2E-6	3.2E-6	6.5E-3	2.2E-4
670	6.7E-3	5.6E-7	3.9E-8	6.8E-6	3.0E-6	6.1E-3	2.1E-4
680	6.3E-3	5.2E-7	3.7E-8	6.4E-6	2.8E-6	5.8E-3	1.9E-4
690	6.0E-3	4.9E-7	3.5E-8	6.1E-6	2.7E-6	5.5E-3	1.8E-4
700	5.7E-3	4.6E-7	3.3E-8	5.7E-6	2.5E-6	5.2E-3	1.7E-4
710	5.4E-3	4.4E-7	3.1E-8	5.4E-6	2.4E-6	5.0E-3	1.6E-4
720	5.1E-3	4.1E-7	2.9E-8	5.1E-6	2.2E-6	4.7E-3	1.5E-4
730	4.8E-3	3.9E-7	2.7E-8	4.8E-6	2.1E-6	4.4E-3	1.4E-4
740	4.6E-3	3.6E-7	2.6E-8	4.5E-6	2.0E-6	4.2E-3	1.3E-4
750	4.3E-3	3.4E-7	2.4E-8	4.3E-6	1.9E-6	4.0E-3	1.2E-4
760	4.1E-3	3.2E-7	2.3E-8	4.1E-6	1.8E-6	3.8E-3	1.1E-4
770	3.9E-3	3.0E-7	2.1E-8	3.8E-6	1.7E-6	3.6E-3	1.1E-4
780	3.7E-3	2.9E-7	2.0E-8	3.6E-6	1.6E-6	3.4E-3	9.9E-5
790	3.5E-3	2.7E-7	1.9E-8	3.4E-6	1.5E-6	3.2E-3	9.3E-5
800	3.3E-3	2.5E-7	1.8E-8	3.2E-6	1.4E-6	3.0E-3	8.7E-5
810	3.1E-3	2.4E-7	1.7E-8	3.1E-6	1.3E-6	2.9E-3	8.1E-5
820	2.9E-3	2.3E-7	1.6E-8	2.9E-6	1.3E-6	2.7E-3	7.6E-5
830	2.8E-3	2.1E-7	1.5E-8	2.7E-6	1.2E-6	2.6E-3	7.1E-5
840	2.6E-3	2.0E-7	1.4E-8	2.6E-6	1.1E-6	2.4E-3	6.7E-5
850	2.5E-3	1.9E-7	1.3E-8	2.4E-6	1.1E-6	2.3E-3	6.2E-5
860	2.4E-3	1.8E-7	1.3E-8	2.3E-6	1.0E-6	2.2E-3	5.9E-5
870	2.2E-3	1.7E-7	1.2E-8	2.2E-6	9.6E-7	2.1E-3	5.5E-5
880	2.1E-3	1.6E-7	1.1E-8	2.1E-6	9.1E-7	2.0E-3	5.1E-5
890	2.0E-3	1.5E-7	1.1E-8	2.0E-6	8.6E-7	1.9E-3	4.8E-5
900	1.9E-3	1.4E-7	9.9E-9	1.9E-6	8.1E-7	1.8E-3	4.5E-5
910	1.8E-3	1.3E-7	9.4E-9	1.8E-6	7.7E-7	1.7E-3	4.2E-5
920	1.7E-3	1.3E-7	8.8E-9	1.7E-6	7.3E-7	1.6E-3	3.9E-5
930	1.6E-3	1.2E-7	8.3E-9	1.6E-6	6.9E-7	1.5E-3	3.7E-5
940	1.5E-3	1.1E-7	7.9E-9	1.5E-6	6.5E-7	1.4E-3	3.5E-5
950	1.4E-3	1.1E-7	7.4E-9	1.4E-6	6.2E-7	1.3E-3	3.2E-5
960	1.4E-3	1.0E-7	7.0E-9	1.3E-6	5.8E-7	1.3E-3	3.0E-5
970	1.3E-3	9.4E-8	6.6E-9	1.3E-6	5.5E-7	1.2E-3	2.8E-5
980	1.2E-3	8.9E-8	6.2E-9	1.2E-6	5.2E-7	1.1E-3	2.7E-5
990	1.2E-3	8.4E-8	5.9E-9	1.1E-6	4.9E-7	1.1E-3	2.5E-5
1000	1.1E-3	7.9E-8	5.6E-9	1.1E-6	4.7E-7	1.0E-3	2.3E-5
1010	1.0E-3	7.5E-8	5.3E-9	1.0E-6	4.4E-7	9.7E-4	2.2E-5
1020	9.9E-4	7.1E-8	5.0E-9	9.6E-7	4.2E-7	9.2E-4	2.1E-5
1030	9.4E-4	6.7E-8	4.7E-9	9.1E-7	4.0E-7	8.7E-4	1.9E-5
1040	8.9E-4	6.3E-8	4.4E-9	8.6E-7	3.8E-7	8.2E-4	1.8E-5
1050	8.4E-4	6.0E-8	4.2E-9	8.1E-7	3.6E-7	7.8E-4	1.7E-5
1060	7.9E-4	5.6E-8	3.9E-9	7.7E-7	3.4E-7	7.4E-4	1.6E-5
1070	7.5E-4	5.3E-8	3.7E-9	7.3E-7	3.2E-7	7.0E-4	1.5E-5
1080	7.1E-4	5.0E-8	3.5E-9	6.9E-7	3.0E-7	6.6E-4	1.4E-5
1090	6.7E-4	4.7E-8	3.3E-9	6.5E-7	2.9E-7	6.3E-4	1.3E-5
1095	6.6E-4	4.6E-8	3.2E-9	6.4E-7	2.8E-7	6.1E-4	1.3E-5
1100	6.4E-4	4.5E-8	3.1E-9	6.2E-7	2.7E-7	5.9E-4	1.2E-5
1200	3.7E-4	2.5E-8	1.8E-9	3.6E-7	1.6E-7	3.4E-4	6.4E-6
1300	2.1E-4	1.4E-8	1.0E-9	2.1E-7	9.2E-8	2.0E-4	3.4E-6
1400	1.2E-4	8.1E-9	5.7E-10	1.2E-7	5.3E-8	1.2E-4	1.8E-6
1500	7.2E-5	4.6E-9	3.2E-10	7.1E-8	3.1E-8	6.7E-5	9.7E-7
1600	4.2E-5	2.6E-9	1.8E-10	4.1E-8	1.8E-8	3.9E-5	5.2E-7
1700	2.4E-5	1.5E-9	1.0E-10	2.4E-8	1.0E-8	2.3E-5	2.8E-7
1800	1.4E-5	8.5E-10	-	1.4E-8	6.1E-9	1.3E-5	1.5E-7
1900	8.1E-6	4.9E-10	-	8.1E-9	3.6E-9	7.6E-6	8.5E-8
2000	4.7E-6	2.8E-10	-	4.7E-9	2.1E-9	4.4E-6	4.7E-8
2100	2.7E-6	1.6E-10	-	2.7E-9	1.2E-9	2.6E-6	2.6E-8
2200	1.6E-6	-	-	1.6E-9	7.0E-10	1.5E-6	1.4E-8
2300	9.1E-7	-	-	9.3E-10	4.1E-10	8.6E-7	8.0E-9
2400	5.3E-7	-	-	5.4E-10	2.4E-10	5.0E-7	4.5E-9
2500	3.1E-7	-	-	3.1E-10	1.4E-10	2.9E-7	2.5E-9
2600	1.8E-7	-	-	1.8E-10	-	1.7E-7	1.4E-9
2700	1.0E-7	-	-	1.1E-10	-	9.7E-8	8.0E-10
2800	6.0E-8	-	-	-	-	5.7E-8	4.5E-10
2900	3.5E-8	-	-	-	-	3.3E-8	2.6E-10
3000	2.0E-8	-	-	-	-	1.9E-8	1.5E-10
3100	1.2E-8	-	-	-	-	1.1E-8	-
3200	6.8E-9	-	-	-	-	6.4E-9	-
3300	3.9E-9	-	-	-	-	3.7E-9	-
3400	2.3E-9	-	-	-	-	2.2E-9	-
3500	1.3E-9	-	-	-	-	1.3E-9	-
3600	7.7E-10	-	-	-	-	7.3E-10	-
3650	5.9E-10	-	-	-	-	5.5E-10	-
