Radionuclide	Ca-41
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=8E-2
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
40	8.0E-2	1.8E-4	2.3E-4	4.6E-4	4.7E-2	2.8E-2
41	8.0E-2	1.8E-4	2.2E-4	4.5E-4	4.7E-2	2.8E-2
42	8.0E-2	1.7E-4	2.2E-4	4.4E-4	4.7E-2	2.8E-2
43	7.9E-2	1.7E-4	2.1E-4	4.3E-4	4.6E-2	2.8E-2
44	7.9E-2	1.6E-4	2.1E-4	4.2E-4	4.6E-2	2.8E-2
45	7.8E-2	1.6E-4	2.1E-4	4.1E-4	4.6E-2	2.8E-2
46	7.8E-2	1.6E-4	2.0E-4	4.0E-4	4.5E-2	2.8E-2
47	7.8E-2	1.5E-4	2.0E-4	3.9E-4	4.5E-2	2.8E-2
48	7.7E-2	1.5E-4	1.9E-4	3.9E-4	4.5E-2	2.9E-2
49	7.7E-2	1.4E-4	1.9E-4	3.8E-4	4.4E-2	2.9E-2
50	7.7E-2	1.4E-4	1.9E-4	3.7E-4	4.4E-2	2.9E-2
51	7.6E-2	1.4E-4	1.9E-4	3.7E-4	4.4E-2	2.9E-2
52	7.6E-2	1.4E-4	1.8E-4	3.6E-4	4.4E-2	2.9E-2
53	7.6E-2	1.3E-4	1.8E-4	3.5E-4	4.3E-2	2.9E-2
54	7.5E-2	1.3E-4	1.8E-4	3.5E-4	4.3E-2	2.9E-2
55	7.5E-2	1.3E-4	1.7E-4	3.4E-4	4.3E-2	2.9E-2
56	7.5E-2	1.3E-4	1.7E-4	3.4E-4	4.2E-2	2.9E-2
57	7.5E-2	1.2E-4	1.7E-4	3.3E-4	4.2E-2	2.9E-2
58	7.4E-2	1.2E-4	1.7E-4	3.3E-4	4.2E-2	2.9E-2
59	7.4E-2	1.2E-4	1.7E-4	3.2E-4	4.1E-2	2.9E-2
60	7.4E-2	1.2E-4	1.6E-4	3.2E-4	4.1E-2	2.9E-2
61	7.3E-2	1.2E-4	1.6E-4	3.2E-4	4.1E-2	2.9E-2
62	7.3E-2	1.2E-4	1.6E-4	3.1E-4	4.1E-2	2.9E-2
63	7.3E-2	1.1E-4	1.6E-4	3.1E-4	4.0E-2	2.9E-2
64	7.3E-2	1.1E-4	1.6E-4	3.1E-4	4.0E-2	2.9E-2
65	7.2E-2	1.1E-4	1.5E-4	3.0E-4	4.0E-2	3.0E-2
66	7.2E-2	1.1E-4	1.5E-4	3.0E-4	3.9E-2	3.0E-2
67	7.2E-2	1.1E-4	1.5E-4	3.0E-4	3.9E-2	3.0E-2
68	7.2E-2	1.1E-4	1.5E-4	2.9E-4	3.9E-2	3.0E-2
69	7.1E-2	1.1E-4	1.5E-4	2.9E-4	3.9E-2	3.0E-2
70	7.1E-2	1.0E-4	1.5E-4	2.9E-4	3.8E-2	3.0E-2
71	7.1E-2	1.0E-4	1.5E-4	2.8E-4	3.8E-2	3.0E-2
72	7.1E-2	1.0E-4	1.4E-4	2.8E-4	3.8E-2	3.0E-2
73	7.0E-2	1.0E-4	1.4E-4	2.8E-4	3.8E-2	3.0E-2
74	7.0E-2	1.0E-4	1.4E-4	2.8E-4	3.7E-2	3.0E-2
75	7.0E-2	1.0E-4	1.4E-4	2.7E-4	3.7E-2	3.0E-2
76	7.0E-2	9.9E-5	1.4E-4	2.7E-4	3.7E-2	3.0E-2
77	6.9E-2	9.8E-5	1.4E-4	2.7E-4	3.7E-2	3.0E-2
78	6.9E-2	9.7E-5	1.4E-4	2.7E-4	3.6E-2	3.0E-2
79	6.9E-2	9.6E-5	1.4E-4	2.6E-4	3.6E-2	3.0E-2
80	6.9E-2	9.5E-5	1.3E-4	2.6E-4	3.6E-2	3.0E-2
81	6.8E-2	9.5E-5	1.3E-4	2.6E-4	3.6E-2	3.0E-2
82	6.8E-2	9.4E-5	1.3E-4	2.6E-4	3.5E-2	3.0E-2
83	6.8E-2	9.3E-5	1.3E-4	2.6E-4	3.5E-2	3.0E-2
84	6.8E-2	9.2E-5	1.3E-4	2.5E-4	3.5E-2	3.0E-2
85	6.8E-2	9.2E-5	1.3E-4	2.5E-4	3.5E-2	3.0E-2
86	6.7E-2	9.1E-5	1.3E-4	2.5E-4	3.4E-2	3.0E-2
87	6.7E-2	9.0E-5	1.3E-4	2.5E-4	3.4E-2	3.0E-2
88	6.7E-2	9.0E-5	1.3E-4	2.5E-4	3.4E-2	3.0E-2
89	6.7E-2	8.9E-5	1.3E-4	2.4E-4	3.4E-2	3.1E-2
90	6.6E-2	8.8E-5	1.2E-4	2.4E-4	3.4E-2	3.1E-2
91	6.6E-2	8.8E-5	1.2E-4	2.4E-4	3.3E-2	3.1E-2
92	6.6E-2	8.7E-5	1.2E-4	2.4E-4	3.3E-2	3.1E-2
93	6.6E-2	8.7E-5	1.2E-4	2.4E-4	3.3E-2	3.1E-2
94	6.6E-2	8.6E-5	1.2E-4	2.4E-4	3.3E-2	3.1E-2
95	6.5E-2	8.5E-5	1.2E-4	2.3E-4	3.2E-2	3.1E-2
96	6.5E-2	8.5E-5	1.2E-4	2.3E-4	3.2E-2	3.1E-2
97	6.5E-2	8.4E-5	1.2E-4	2.3E-4	3.2E-2	3.1E-2
98	6.5E-2	8.4E-5	1.2E-4	2.3E-4	3.2E-2	3.1E-2
99	6.5E-2	8.3E-5	1.2E-4	2.3E-4	3.2E-2	3.1E-2
100	6.4E-2	8.3E-5	1.2E-4	2.3E-4	3.1E-2	3.1E-2
110	6.2E-2	7.8E-5	1.1E-4	2.1E-4	2.9E-2	3.1E-2
120	6.1E-2	7.3E-5	1.0E-4	2.0E-4	2.7E-2	3.1E-2
130	5.9E-2	6.9E-5	9.4E-5	1.8E-4	2.6E-2	3.2E-2
140	5.7E-2	6.6E-5	8.8E-5	1.7E-4	2.4E-2	3.2E-2
150	5.6E-2	6.2E-5	8.2E-5	1.6E-4	2.2E-2	3.2E-2
160	5.5E-2	5.9E-5	7.7E-5	1.5E-4	2.1E-2	3.2E-2
170	5.3E-2	5.6E-5	7.2E-5	1.4E-4	2.0E-2	3.2E-2
180	5.2E-2	5.3E-5	6.8E-5	1.3E-4	1.8E-2	3.2E-2
190	5.1E-2	5.0E-5	6.3E-5	1.3E-4	1.7E-2	3.2E-2
200	5.0E-2	4.7E-5	6.0E-5	1.2E-4	1.6E-2	3.2E-2
210	4.9E-2	4.5E-5	5.6E-5	1.1E-4	1.5E-2	3.2E-2
220	4.8E-2	4.3E-5	5.2E-5	1.0E-4	1.4E-2	3.3E-2
230	4.7E-2	4.1E-5	4.9E-5	9.9E-5	1.3E-2	3.3E-2
240	4.6E-2	3.9E-5	4.6E-5	9.3E-5	1.2E-2	3.3E-2
250	4.5E-2	3.7E-5	4.4E-5	8.7E-5	1.2E-2	3.3E-2
260	4.4E-2	3.5E-5	4.1E-5	8.2E-5	1.1E-2	3.3E-2
270	4.4E-2	3.3E-5	3.9E-5	7.8E-5	1.0E-2	3.3E-2
280	4.3E-2	3.1E-5	3.6E-5	7.3E-5	9.5E-3	3.3E-2
290	4.2E-2	3.0E-5	3.4E-5	6.9E-5	9.0E-3	3.2E-2
300	4.2E-2	2.9E-5	3.2E-5	6.5E-5	8.4E-3	3.2E-2
310	4.1E-2	2.7E-5	3.0E-5	6.2E-5	7.9E-3	3.2E-2
320	4.0E-2	2.6E-5	2.9E-5	5.9E-5	7.4E-3	3.2E-2
330	4.0E-2	2.5E-5	2.7E-5	5.5E-5	6.9E-3	3.2E-2
340	3.9E-2	2.4E-5	2.6E-5	5.2E-5	6.5E-3	3.2E-2
350	3.9E-2	2.3E-5	2.4E-5	5.0E-5	6.1E-3	3.2E-2
360	3.9E-2	2.2E-5	2.3E-5	4.7E-5	5.8E-3	3.2E-2
365	3.8E-2	2.1E-5	2.2E-5	4.6E-5	5.6E-3	3.2E-2
370	3.8E-2	2.1E-5	2.2E-5	4.5E-5	5.4E-3	3.2E-2
380	3.8E-2	2.0E-5	2.0E-5	4.2E-5	5.1E-3	3.2E-2
390	3.7E-2	1.9E-5	1.9E-5	4.0E-5	4.8E-3	3.2E-2
400	3.7E-2	1.8E-5	1.8E-5	3.8E-5	4.5E-3	3.2E-2
410	3.7E-2	1.7E-5	1.7E-5	3.7E-5	4.2E-3	3.2E-2
420	3.6E-2	1.7E-5	1.7E-5	3.5E-5	4.0E-3	3.2E-2
430	3.6E-2	1.6E-5	1.6E-5	3.3E-5	3.7E-3	3.2E-2
440	3.6E-2	1.5E-5	1.5E-5	3.2E-5	3.5E-3	3.2E-2
450	3.5E-2	1.5E-5	1.4E-5	3.0E-5	3.3E-3	3.2E-2
460	3.5E-2	1.4E-5	1.4E-5	2.9E-5	3.1E-3	3.1E-2
470	3.5E-2	1.3E-5	1.3E-5	2.8E-5	2.9E-3	3.1E-2
480	3.4E-2	1.3E-5	1.2E-5	2.6E-5	2.8E-3	3.1E-2
490	3.4E-2	1.2E-5	1.2E-5	2.5E-5	2.6E-3	3.1E-2
500	3.4E-2	1.2E-5	1.1E-5	2.4E-5	2.5E-3	3.1E-2
510	3.4E-2	1.2E-5	1.1E-5	2.3E-5	2.3E-3	3.1E-2
520	3.4E-2	1.1E-5	1.0E-5	2.2E-5	2.2E-3	3.1E-2
530	3.3E-2	1.1E-5	9.8E-6	2.1E-5	2.1E-3	3.1E-2
540	3.3E-2	1.0E-5	9.4E-6	2.0E-5	1.9E-3	3.1E-2
550	3.3E-2	1.0E-5	9.0E-6	2.0E-5	1.8E-3	3.1E-2
560	3.3E-2	9.7E-6	8.6E-6	1.9E-5	1.7E-3	3.1E-2
570	3.3E-2	9.4E-6	8.3E-6	1.8E-5	1.6E-3	3.1E-2
580	3.2E-2	9.1E-6	8.0E-6	1.8E-5	1.5E-3	3.1E-2
590	3.2E-2	8.8E-6	7.6E-6	1.7E-5	1.5E-3	3.1E-2
600	3.2E-2	8.5E-6	7.4E-6	1.6E-5	1.4E-3	3.0E-2
610	3.2E-2	8.2E-6	7.1E-6	1.6E-5	1.3E-3	3.0E-2
620	3.2E-2	8.0E-6	6.8E-6	1.5E-5	1.2E-3	3.0E-2
630	3.2E-2	7.7E-6	6.6E-6	1.5E-5	1.2E-3	3.0E-2
640	3.1E-2	7.5E-6	6.4E-6	1.4E-5	1.1E-3	3.0E-2
650	3.1E-2	7.3E-6	6.2E-6	1.4E-5	1.0E-3	3.0E-2
660	3.1E-2	7.1E-6	6.0E-6	1.3E-5	9.8E-4	3.0E-2
670	3.1E-2	6.9E-6	5.8E-6	1.3E-5	9.2E-4	3.0E-2
680	3.1E-2	6.7E-6	5.6E-6	1.3E-5	8.7E-4	3.0E-2
690	3.1E-2	6.6E-6	5.4E-6	1.2E-5	8.2E-4	3.0E-2
700	3.1E-2	6.4E-6	5.3E-6	1.2E-5	7.8E-4	3.0E-2
710	3.1E-2	6.2E-6	5.1E-6	1.2E-5	7.4E-4	3.0E-2
720	3.1E-2	6.1E-6	5.0E-6	1.1E-5	7.0E-4	3.0E-2
730	3.0E-2	6.0E-6	4.8E-6	1.1E-5	6.6E-4	3.0E-2
740	3.0E-2	5.8E-6	4.7E-6	1.1E-5	6.2E-4	2.9E-2
750	3.0E-2	5.7E-6	4.6E-6	1.1E-5	5.9E-4	2.9E-2
760	3.0E-2	5.6E-6	4.5E-6	1.0E-5	5.6E-4	2.9E-2
770	3.0E-2	5.4E-6	4.3E-6	1.0E-5	5.3E-4	2.9E-2
780	3.0E-2	5.3E-6	4.2E-6	1.0E-5	5.0E-4	2.9E-2
790	3.0E-2	5.2E-6	4.1E-6	9.7E-6	4.7E-4	2.9E-2
800	3.0E-2	5.1E-6	4.0E-6	9.6E-6	4.5E-4	2.9E-2
810	3.0E-2	5.0E-6	4.0E-6	9.4E-6	4.3E-4	2.9E-2
820	3.0E-2	4.9E-6	3.9E-6	9.2E-6	4.0E-4	2.9E-2
830	2.9E-2	4.8E-6	3.8E-6	9.0E-6	3.8E-4	2.9E-2
840	2.9E-2	4.8E-6	3.7E-6	8.9E-6	3.6E-4	2.9E-2
850	2.9E-2	4.7E-6	3.7E-6	8.7E-6	3.4E-4	2.9E-2
860	2.9E-2	4.6E-6	3.6E-6	8.6E-6	3.2E-4	2.9E-2
870	2.9E-2	4.5E-6	3.5E-6	8.4E-6	3.1E-4	2.9E-2
880	2.9E-2	4.5E-6	3.5E-6	8.3E-6	2.9E-4	2.9E-2
890	2.9E-2	4.4E-6	3.4E-6	8.2E-6	2.8E-4	2.9E-2
900	2.9E-2	4.3E-6	3.3E-6	8.1E-6	2.6E-4	2.8E-2
910	2.9E-2	4.3E-6	3.3E-6	7.9E-6	2.5E-4	2.8E-2
920	2.9E-2	4.2E-6	3.2E-6	7.8E-6	2.4E-4	2.8E-2
930	2.9E-2	4.1E-6	3.2E-6	7.7E-6	2.2E-4	2.8E-2
940	2.9E-2	4.1E-6	3.1E-6	7.6E-6	2.1E-4	2.8E-2
950	2.8E-2	4.0E-6	3.1E-6	7.5E-6	2.0E-4	2.8E-2
960	2.8E-2	4.0E-6	3.1E-6	7.4E-6	1.9E-4	2.8E-2
970	2.8E-2	3.9E-6	3.0E-6	7.3E-6	1.8E-4	2.8E-2
980	2.8E-2	3.9E-6	3.0E-6	7.3E-6	1.7E-4	2.8E-2
990	2.8E-2	3.9E-6	2.9E-6	7.2E-6	1.6E-4	2.8E-2
1000	2.8E-2	3.8E-6	2.9E-6	7.1E-6	1.5E-4	2.8E-2
1010	2.8E-2	3.8E-6	2.9E-6	7.0E-6	1.5E-4	2.8E-2
1020	2.8E-2	3.7E-6	2.8E-6	7.0E-6	1.4E-4	2.8E-2
1030	2.8E-2	3.7E-6	2.8E-6	6.9E-6	1.3E-4	2.8E-2
1040	2.8E-2	3.7E-6	2.8E-6	6.8E-6	1.3E-4	2.8E-2
1050	2.8E-2	3.6E-6	2.7E-6	6.8E-6	1.2E-4	2.8E-2
1060	2.8E-2	3.6E-6	2.7E-6	6.7E-6	1.1E-4	2.8E-2
1070	2.8E-2	3.6E-6	2.7E-6	6.6E-6	1.1E-4	2.7E-2
1080	2.8E-2	3.5E-6	2.7E-6	6.6E-6	1.0E-4	2.7E-2
1090	2.8E-2	3.5E-6	2.6E-6	6.5E-6	9.7E-5	2.7E-2
1095	2.8E-2	3.5E-6	2.6E-6	6.5E-6	9.5E-5	2.7E-2
1100	2.8E-2	3.5E-6	2.6E-6	6.5E-6	9.2E-5	2.7E-2
1200	2.7E-2	3.2E-6	2.4E-6	6.0E-6	5.5E-5	2.7E-2
1300	2.6E-2	3.0E-6	2.3E-6	5.7E-6	3.4E-5	2.6E-2
1400	2.6E-2	2.9E-6	2.2E-6	5.4E-6	2.1E-5	2.6E-2
1500	2.5E-2	2.8E-6	2.1E-6	5.2E-6	1.3E-5	2.5E-2
1600	2.5E-2	2.6E-6	2.0E-6	5.0E-6	8.3E-6	2.5E-2
1700	2.4E-2	2.6E-6	1.9E-6	4.8E-6	5.5E-6	2.4E-2
1800	2.4E-2	2.5E-6	1.9E-6	4.7E-6	3.8E-6	2.4E-2
1900	2.4E-2	2.4E-6	1.8E-6	4.5E-6	2.7E-6	2.3E-2
2000	2.3E-2	2.3E-6	1.7E-6	4.4E-6	2.1E-6	2.3E-2
2100	2.3E-2	2.2E-6	1.7E-6	4.2E-6	1.7E-6	2.3E-2
2200	2.2E-2	2.2E-6	1.6E-6	4.1E-6	1.4E-6	2.2E-2
2300	2.2E-2	2.1E-6	1.6E-6	4.0E-6	1.3E-6	2.2E-2
2400	2.2E-2	2.0E-6	1.5E-6	3.9E-6	1.1E-6	2.2E-2
2500	2.1E-2	2.0E-6	1.5E-6	3.7E-6	1.1E-6	2.1E-2
2600	2.1E-2	1.9E-6	1.4E-6	3.6E-6	1.0E-6	2.1E-2
2700	2.1E-2	1.9E-6	1.4E-6	3.5E-6	9.5E-7	2.1E-2
2800	2.0E-2	1.8E-6	1.4E-6	3.4E-6	9.2E-7	2.0E-2
2900	2.0E-2	1.7E-6	1.3E-6	3.3E-6	8.8E-7	2.0E-2
3000	2.0E-2	1.7E-6	1.3E-6	3.2E-6	8.5E-7	2.0E-2
3100	1.9E-2	1.6E-6	1.2E-6	3.1E-6	8.3E-7	1.9E-2
3200	1.9E-2	1.6E-6	1.2E-6	3.0E-6	8.0E-7	1.9E-2
3300	1.9E-2	1.6E-6	1.2E-6	3.0E-6	7.8E-7	1.9E-2
3400	1.9E-2	1.5E-6	1.1E-6	2.9E-6	7.6E-7	1.9E-2
3500	1.8E-2	1.5E-6	1.1E-6	2.8E-6	7.3E-7	1.8E-2
3600	1.8E-2	1.4E-6	1.1E-6	2.7E-6	7.1E-7	1.8E-2
3650	1.8E-2	1.4E-6	1.1E-6	2.7E-6	7.0E-7	1.8E-2
4000	1.7E-2	1.3E-6	9.6E-7	2.4E-6	6.4E-7	1.7E-2
5000	1.5E-2	1.0E-6	7.5E-7	1.9E-6	4.9E-7	1.5E-2
6000	1.4E-2	8.0E-7	6.0E-7	1.5E-6	3.9E-7	1.4E-2
7000	1.2E-2	6.6E-7	5.0E-7	1.2E-6	3.1E-7	1.2E-2
8000	1.1E-2	5.6E-7	4.2E-7	1.0E-6	2.6E-7	1.1E-2
9000	1.0E-2	4.9E-7	3.6E-7	8.8E-7	2.2E-7	1.0E-2
10000	9.5E-3	4.3E-7	3.2E-7	7.6E-7	1.9E-7	9.5E-3
11000	8.8E-3	3.8E-7	2.9E-7	6.8E-7	1.7E-7	8.8E-3
12000	8.2E-3	3.5E-7	2.6E-7	6.1E-7	1.5E-7	8.1E-3
13000	7.6E-3	3.2E-7	2.4E-7	5.5E-7	1.3E-7	7.6E-3
14000	7.0E-3	2.9E-7	2.2E-7	5.0E-7	1.2E-7	7.0E-3
15000	6.6E-3	2.7E-7	2.0E-7	4.6E-7	1.1E-7	6.6E-3
16000	6.1E-3	2.5E-7	1.9E-7	4.2E-7	1.0E-7	6.1E-3
17000	5.7E-3	2.3E-7	1.7E-7	3.9E-7	9.5E-8	5.7E-3
18000	5.3E-3	2.1E-7	1.6E-7	3.6E-7	8.8E-8	5.3E-3
18250	5.2E-3	2.1E-7	1.6E-7	3.6E-7	8.6E-8	5.2E-3
