Radionuclide	Np-234
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
5	2.3E-1	3.1E-3	1.8E-3	1.8E-3	8.5E-4	1.4E-1	3.2E-2
5.5	2.1E-1	-	-	1.3E-3	6.9E-4	1.3E-1	2.9E-2
6	1.9E-1	1.7E-3	4.3E-4	1.0E-3	5.6E-4	1.2E-1	2.7E-2
6.5	1.8E-1	-	-	8.4E-4	4.7E-4	1.1E-1	2.5E-2
7	1.6E-1	1.0E-3	1.1E-4	7.1E-4	3.9E-4	1.1E-1	2.4E-2
7.5	1.5E-1	-	-	6.2E-4	3.3E-4	9.8E-2	2.2E-2
8	1.4E-1	6.1E-4	3.6E-5	5.4E-4	2.8E-4	9.1E-2	2.0E-2
8.5	1.3E-1	-	-	4.8E-4	2.5E-4	8.4E-2	1.9E-2
9	1.2E-1	3.7E-4	1.6E-5	4.3E-4	2.2E-4	7.8E-2	1.7E-2
9.5	1.1E-1	-	-	3.9E-4	1.9E-4	7.2E-2	1.6E-2
10	1.0E-1	2.4E-4	9.0E-6	3.5E-4	1.7E-4	6.7E-2	1.5E-2
11	8.5E-2	1.6E-4	5.6E-6	2.9E-4	1.4E-4	5.7E-2	1.3E-2
12	7.2E-2	1.1E-4	3.7E-6	2.4E-4	1.1E-4	4.9E-2	1.1E-2
13	6.2E-2	7.9E-5	2.6E-6	2.0E-4	9.2E-5	4.2E-2	9.3E-3
14	5.3E-2	5.9E-5	1.9E-6	1.7E-4	7.7E-5	3.6E-2	8.0E-3
15	4.5E-2	4.5E-5	1.5E-6	1.4E-4	6.5E-5	3.1E-2	6.8E-3
16	3.8E-2	3.5E-5	1.1E-6	1.2E-4	5.5E-5	2.6E-2	5.8E-3
17	3.3E-2	2.8E-5	9.3E-7	1.0E-4	4.6E-5	2.2E-2	5.0E-3
18	2.8E-2	2.3E-5	7.6E-7	8.8E-5	3.9E-5	1.9E-2	4.2E-3
19	2.4E-2	1.9E-5	6.4E-7	7.4E-5	3.3E-5	1.6E-2	3.6E-3
20	2.0E-2	1.5E-5	5.3E-7	6.3E-5	2.8E-5	1.4E-2	3.1E-3
21	1.7E-2	1.2E-5	4.5E-7	5.4E-5	2.4E-5	1.2E-2	2.7E-3
22	1.5E-2	1.0E-5	3.8E-7	4.6E-5	2.0E-5	1.0E-2	2.3E-3
23	1.3E-2	8.5E-6	3.2E-7	3.9E-5	1.7E-5	8.7E-3	1.9E-3
24	1.1E-2	7.0E-6	2.8E-7	3.3E-5	1.5E-5	7.5E-3	1.7E-3
25	9.2E-3	5.8E-6	2.3E-7	2.8E-5	1.3E-5	6.4E-3	1.4E-3
26	7.9E-3	4.8E-6	2.0E-7	2.4E-5	1.1E-5	5.5E-3	1.2E-3
27	6.7E-3	4.0E-6	1.7E-7	2.0E-5	9.1E-6	4.7E-3	1.0E-3
28	5.7E-3	3.3E-6	1.5E-7	1.7E-5	7.7E-6	4.0E-3	8.8E-4
29	4.9E-3	2.8E-6	1.2E-7	1.5E-5	6.6E-6	3.4E-3	7.5E-4
30	4.2E-3	2.3E-6	1.1E-7	1.2E-5	5.6E-6	2.9E-3	6.4E-4
31	3.6E-3	1.9E-6	9.0E-8	1.1E-5	4.7E-6	2.5E-3	5.5E-4
32	3.1E-3	1.6E-6	7.7E-8	9.0E-6	4.0E-6	2.1E-3	4.7E-4
33	2.6E-3	1.3E-6	6.5E-8	7.7E-6	3.4E-6	1.8E-3	4.0E-4
34	2.2E-3	1.1E-6	5.6E-8	6.5E-6	2.9E-6	1.6E-3	3.4E-4
35	1.9E-3	9.2E-7	4.7E-8	5.5E-6	2.5E-6	1.3E-3	2.9E-4
36	1.6E-3	7.6E-7	4.0E-8	4.7E-6	2.1E-6	1.1E-3	2.5E-4
37	1.4E-3	6.4E-7	3.5E-8	4.0E-6	1.8E-6	9.7E-4	2.1E-4
38	1.2E-3	5.3E-7	2.9E-8	3.4E-6	1.5E-6	8.3E-4	1.8E-4
39	1.0E-3	4.4E-7	2.5E-8	2.9E-6	1.3E-6	7.1E-4	1.6E-4
40	8.6E-4	3.7E-7	2.1E-8	2.5E-6	1.1E-6	6.1E-4	1.3E-4
41	7.4E-4	3.1E-7	1.8E-8	2.1E-6	9.4E-7	5.2E-4	1.1E-4
42	6.3E-4	2.6E-7	1.6E-8	1.8E-6	8.0E-7	4.4E-4	9.8E-5
43	5.4E-4	2.2E-7	1.3E-8	1.5E-6	6.8E-7	3.8E-4	8.3E-5
44	4.6E-4	1.8E-7	1.1E-8	1.3E-6	5.8E-7	3.2E-4	7.1E-5
45	3.9E-4	1.5E-7	9.6E-9	1.1E-6	4.9E-7	2.8E-4	6.1E-5
46	3.3E-4	1.3E-7	8.2E-9	9.3E-7	4.2E-7	2.4E-4	5.2E-5
47	2.9E-4	1.1E-7	7.0E-9	7.9E-7	3.5E-7	2.0E-4	4.4E-5
48	2.4E-4	9.0E-8	6.0E-9	6.7E-7	3.0E-7	1.7E-4	3.8E-5
49	2.1E-4	7.6E-8	5.1E-9	5.7E-7	2.6E-7	1.5E-4	3.2E-5
50	1.8E-4	6.3E-8	4.3E-9	4.9E-7	2.2E-7	1.3E-4	2.8E-5
51	1.5E-4	5.3E-8	3.7E-9	4.1E-7	1.9E-7	1.1E-4	2.4E-5
52	1.3E-4	4.5E-8	3.2E-9	3.5E-7	1.6E-7	9.2E-5	2.0E-5
53	1.1E-4	3.8E-8	2.7E-9	3.0E-7	1.3E-7	7.8E-5	1.7E-5
54	9.4E-5	3.2E-8	2.3E-9	2.5E-7	1.1E-7	6.7E-5	1.5E-5
55	8.1E-5	2.7E-8	2.0E-9	2.2E-7	9.7E-8	5.7E-5	1.3E-5
56	6.9E-5	2.2E-8	1.7E-9	1.8E-7	8.2E-8	4.9E-5	1.1E-5
57	5.9E-5	1.9E-8	1.4E-9	1.6E-7	7.0E-8	4.2E-5	9.2E-6
58	5.0E-5	1.6E-8	1.2E-9	1.3E-7	6.0E-8	3.6E-5	7.9E-6
59	4.3E-5	1.3E-8	1.0E-9	1.1E-7	5.1E-8	3.1E-5	6.7E-6
60	3.7E-5	1.1E-8	8.8E-10	9.6E-8	4.3E-8	2.6E-5	5.8E-6
61	3.1E-5	9.6E-9	7.5E-10	8.2E-8	3.7E-8	2.2E-5	4.9E-6
62	2.7E-5	8.1E-9	6.4E-10	7.0E-8	3.1E-8	1.9E-5	4.2E-6
63	2.3E-5	6.8E-9	5.5E-10	5.9E-8	2.7E-8	1.6E-5	3.6E-6
64	1.9E-5	5.8E-9	4.7E-10	5.0E-8	2.3E-8	1.4E-5	3.1E-6
65	1.7E-5	4.9E-9	4.0E-10	4.3E-8	1.9E-8	1.2E-5	2.6E-6
66	1.4E-5	4.1E-9	3.4E-10	3.6E-8	1.6E-8	1.0E-5	2.2E-6
67	1.2E-5	3.5E-9	2.9E-10	3.1E-8	1.4E-8	8.7E-6	1.9E-6
68	1.0E-5	2.9E-9	2.5E-10	2.6E-8	1.2E-8	7.4E-6	1.6E-6
69	8.9E-6	2.5E-9	2.1E-10	2.2E-8	1.0E-8	6.3E-6	1.4E-6
70	7.6E-6	2.1E-9	1.8E-10	1.9E-8	8.5E-9	5.4E-6	1.2E-6
71	6.5E-6	1.8E-9	1.5E-10	1.6E-8	7.3E-9	4.6E-6	1.0E-6
72	5.5E-6	1.5E-9	1.3E-10	1.4E-8	6.2E-9	4.0E-6	8.7E-7
73	4.7E-6	1.3E-9	1.1E-10	1.2E-8	5.3E-9	3.4E-6	7.4E-7
74	4.0E-6	1.1E-9	-	1.0E-8	4.5E-9	2.9E-6	6.3E-7
75	3.4E-6	9.1E-10	-	8.5E-9	3.8E-9	2.5E-6	5.4E-7
76	2.9E-6	7.7E-10	-	7.2E-9	3.2E-9	2.1E-6	4.6E-7
77	2.5E-6	6.6E-10	-	6.2E-9	2.8E-9	1.8E-6	4.0E-7
78	2.1E-6	5.6E-10	-	5.2E-9	2.3E-9	1.5E-6	3.4E-7
79	1.8E-6	4.7E-10	-	4.5E-9	2.0E-9	1.3E-6	2.9E-7
80	1.6E-6	4.0E-10	-	3.8E-9	1.7E-9	1.1E-6	2.5E-7
81	1.3E-6	3.4E-10	-	3.2E-9	1.4E-9	9.6E-7	2.1E-7
82	1.1E-6	2.9E-10	-	2.7E-9	1.2E-9	8.2E-7	1.8E-7
83	9.7E-7	2.4E-10	-	2.3E-9	1.0E-9	7.0E-7	1.5E-7
84	8.3E-7	2.1E-10	-	2.0E-9	8.9E-10	6.0E-7	1.3E-7
85	7.1E-7	1.8E-10	-	1.7E-9	7.5E-10	5.1E-7	1.1E-7
86	6.1E-7	1.5E-10	-	1.4E-9	6.4E-10	4.4E-7	9.6E-8
87	5.2E-7	1.3E-10	-	1.2E-9	5.5E-10	3.7E-7	8.2E-8
88	4.4E-7	1.1E-10	-	1.0E-9	4.6E-10	3.2E-7	7.0E-8
89	3.8E-7	-	-	8.8E-10	4.0E-10	2.7E-7	6.0E-8
90	3.2E-7	-	-	7.5E-10	3.4E-10	2.3E-7	5.1E-8
91	2.7E-7	-	-	6.4E-10	2.9E-10	2.0E-7	4.4E-8
92	2.3E-7	-	-	5.4E-10	2.4E-10	1.7E-7	3.7E-8
93	2.0E-7	-	-	4.6E-10	2.1E-10	1.5E-7	3.2E-8
94	1.7E-7	-	-	3.9E-10	1.8E-10	1.2E-7	2.7E-8
95	1.5E-7	-	-	3.3E-10	1.5E-10	1.1E-7	2.3E-8
96	1.2E-7	-	-	2.8E-10	1.3E-10	9.1E-8	2.0E-8
97	1.1E-7	-	-	2.4E-10	1.1E-10	7.8E-8	1.7E-8
98	9.1E-8	-	-	2.1E-10	-	6.6E-8	1.5E-8
99	7.8E-8	-	-	1.7E-10	-	5.7E-8	1.2E-8
100	6.6E-8	-	-	1.5E-10	-	4.8E-8	1.1E-8
110	1.4E-8	-	-	-	-	1.0E-8	2.2E-9
120	2.8E-9	-	-	-	-	2.1E-9	4.5E-10
130	5.8E-10	-	-	-	-	4.3E-10	-
140	1.2E-10	-	-	-	-	-	-
