Radionuclide	Ir-193m
Route of Intake	Inhalation
Material	Aerosols Type F, Iridium chloride, fA=1E-2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
3.75	1.5E-1	-	-	2.5E-2	1.8E-3	1.9E-2	2.5E-2
4	1.4E-1	2.1E-3	4.0E-2	1.8E-2	1.6E-3	1.8E-2	2.4E-2
4.25	1.4E-1	-	-	1.4E-2	1.5E-3	1.8E-2	2.4E-2
4.5	1.3E-1	-	-	1.1E-2	1.4E-3	1.8E-2	2.3E-2
4.75	1.2E-1	-	-	8.3E-3	1.3E-3	1.8E-2	2.3E-2
5	1.2E-1	1.6E-3	1.2E-2	6.7E-3	1.2E-3	1.7E-2	2.2E-2
5.5	1.1E-1	-	-	4.6E-3	1.1E-3	1.7E-2	2.1E-2
6	1.1E-1	1.3E-3	3.4E-3	3.6E-3	9.5E-4	1.6E-2	2.0E-2
6.5	1.0E-1	-	-	3.0E-3	8.6E-4	1.6E-2	1.9E-2
7	9.9E-2	1.1E-3	1.4E-3	2.6E-3	7.9E-4	1.5E-2	1.8E-2
7.5	9.4E-2	-	-	2.4E-3	7.2E-4	1.5E-2	1.8E-2
8	9.1E-2	9.0E-4	8.2E-4	2.2E-3	6.7E-4	1.4E-2	1.7E-2
8.5	8.7E-2	-	-	2.1E-3	6.3E-4	1.4E-2	1.6E-2
9	8.3E-2	7.6E-4	6.2E-4	1.9E-3	5.9E-4	1.3E-2	1.5E-2
9.5	8.0E-2	-	-	1.8E-3	5.6E-4	1.3E-2	1.5E-2
10	7.7E-2	6.5E-4	5.2E-4	1.7E-3	5.3E-4	1.3E-2	1.4E-2
11	7.1E-2	5.6E-4	4.4E-4	1.5E-3	4.7E-4	1.2E-2	1.3E-2
12	6.6E-2	4.9E-4	3.7E-4	1.4E-3	4.3E-4	1.1E-2	1.2E-2
13	6.1E-2	4.3E-4	3.2E-4	1.2E-3	3.9E-4	1.0E-2	1.1E-2
14	5.6E-2	3.8E-4	2.8E-4	1.1E-3	3.6E-4	9.5E-3	1.0E-2
15	5.2E-2	3.3E-4	2.4E-4	9.9E-4	3.3E-4	8.9E-3	9.6E-3
16	4.8E-2	2.9E-4	2.1E-4	9.0E-4	3.1E-4	8.3E-3	8.9E-3
17	4.5E-2	2.6E-4	1.8E-4	8.1E-4	2.8E-4	7.7E-3	8.3E-3
18	4.1E-2	2.3E-4	1.6E-4	7.4E-4	2.6E-4	7.2E-3	7.7E-3
19	3.9E-2	2.1E-4	1.4E-4	6.7E-4	2.4E-4	6.7E-3	7.1E-3
20	3.6E-2	1.8E-4	1.2E-4	6.1E-4	2.2E-4	6.2E-3	6.6E-3
21	3.3E-2	1.6E-4	1.1E-4	5.6E-4	2.1E-4	5.8E-3	6.2E-3
22	3.1E-2	1.5E-4	9.4E-5	5.1E-4	1.9E-4	5.4E-3	5.8E-3
23	2.9E-2	1.3E-4	8.4E-5	4.7E-4	1.8E-4	5.0E-3	5.4E-3
24	2.7E-2	1.2E-4	7.4E-5	4.3E-4	1.6E-4	4.7E-3	5.0E-3
25	2.5E-2	1.1E-4	6.6E-5	4.0E-4	1.5E-4	4.3E-3	4.7E-3
26	2.3E-2	9.6E-5	5.9E-5	3.6E-4	1.4E-4	4.0E-3	4.4E-3
27	2.1E-2	8.7E-5	5.3E-5	3.4E-4	1.3E-4	3.8E-3	4.1E-3
28	2.0E-2	7.9E-5	4.7E-5	3.1E-4	1.2E-4	3.5E-3	3.8E-3
29	1.9E-2	7.2E-5	4.2E-5	2.9E-4	1.1E-4	3.3E-3	3.5E-3
30	1.7E-2	6.5E-5	3.8E-5	2.6E-4	1.0E-4	3.0E-3	3.3E-3
31	1.6E-2	5.9E-5	3.4E-5	2.4E-4	9.6E-5	2.8E-3	3.1E-3
32	1.5E-2	5.4E-5	3.1E-5	2.2E-4	8.9E-5	2.6E-3	2.9E-3
33	1.4E-2	4.9E-5	2.8E-5	2.1E-4	8.2E-5	2.4E-3	2.7E-3
34	1.3E-2	4.5E-5	2.5E-5	1.9E-4	7.6E-5	2.3E-3	2.5E-3
35	1.2E-2	4.1E-5	2.3E-5	1.8E-4	7.1E-5	2.1E-3	2.4E-3
36	1.1E-2	3.7E-5	2.1E-5	1.6E-4	6.6E-5	2.0E-3	2.2E-3
37	1.0E-2	3.4E-5	1.9E-5	1.5E-4	6.1E-5	1.8E-3	2.1E-3
38	9.8E-3	3.1E-5	1.7E-5	1.4E-4	5.7E-5	1.7E-3	1.9E-3
39	9.1E-3	2.9E-5	1.6E-5	1.3E-4	5.3E-5	1.6E-3	1.8E-3
40	8.5E-3	2.6E-5	1.4E-5	1.2E-4	4.9E-5	1.5E-3	1.7E-3
41	7.9E-3	2.4E-5	1.3E-5	1.1E-4	4.6E-5	1.4E-3	1.6E-3
42	7.4E-3	2.2E-5	1.2E-5	1.0E-4	4.3E-5	1.3E-3	1.5E-3
43	6.9E-3	2.0E-5	1.1E-5	9.7E-5	4.0E-5	1.2E-3	1.4E-3
44	6.4E-3	1.9E-5	1.0E-5	9.0E-5	3.7E-5	1.1E-3	1.3E-3
45	6.0E-3	1.7E-5	9.2E-6	8.4E-5	3.4E-5	1.0E-3	1.2E-3
46	5.6E-3	1.6E-5	8.4E-6	7.8E-5	3.2E-5	9.5E-4	1.1E-3
47	5.2E-3	1.5E-5	7.7E-6	7.3E-5	3.0E-5	8.8E-4	1.0E-3
48	4.8E-3	1.3E-5	7.1E-6	6.8E-5	2.8E-5	8.2E-4	9.7E-4
49	4.5E-3	1.2E-5	6.5E-6	6.3E-5	2.6E-5	7.6E-4	9.1E-4
50	4.2E-3	1.1E-5	6.0E-6	5.8E-5	2.4E-5	7.1E-4	8.5E-4
51	3.9E-3	1.0E-5	5.5E-6	5.4E-5	2.2E-5	6.6E-4	7.9E-4
52	3.7E-3	9.7E-6	5.1E-6	5.1E-5	2.1E-5	6.1E-4	7.4E-4
53	3.4E-3	8.9E-6	4.7E-6	4.7E-5	1.9E-5	5.7E-4	6.9E-4
54	3.2E-3	8.3E-6	4.3E-6	4.4E-5	1.8E-5	5.3E-4	6.5E-4
55	3.0E-3	7.6E-6	4.0E-6	4.1E-5	1.7E-5	4.9E-4	6.0E-4
56	2.8E-3	7.0E-6	3.7E-6	3.8E-5	1.6E-5	4.6E-4	5.6E-4
57	2.6E-3	6.5E-6	3.4E-6	3.5E-5	1.5E-5	4.3E-4	5.3E-4
58	2.4E-3	6.0E-6	3.1E-6	3.3E-5	1.4E-5	4.0E-4	4.9E-4
59	2.2E-3	5.6E-6	2.9E-6	3.1E-5	1.3E-5	3.7E-4	4.6E-4
60	2.1E-3	5.2E-6	2.7E-6	2.9E-5	1.2E-5	3.4E-4	4.3E-4
61	2.0E-3	4.8E-6	2.5E-6	2.7E-5	1.1E-5	3.2E-4	4.0E-4
62	1.8E-3	4.4E-6	2.3E-6	2.5E-5	1.0E-5	3.0E-4	3.7E-4
63	1.7E-3	4.1E-6	2.1E-6	2.3E-5	9.6E-6	2.8E-4	3.5E-4
64	1.6E-3	3.8E-6	2.0E-6	2.2E-5	8.9E-6	2.6E-4	3.3E-4
65	1.5E-3	3.5E-6	1.8E-6	2.0E-5	8.3E-6	2.4E-4	3.0E-4
66	1.4E-3	3.3E-6	1.7E-6	1.9E-5	7.8E-6	2.2E-4	2.8E-4
67	1.3E-3	3.0E-6	1.6E-6	1.7E-5	7.2E-6	2.1E-4	2.7E-4
68	1.2E-3	2.8E-6	1.4E-6	1.6E-5	6.8E-6	1.9E-4	2.5E-4
69	1.1E-3	2.6E-6	1.3E-6	1.5E-5	6.3E-6	1.8E-4	2.3E-4
70	1.0E-3	2.4E-6	1.2E-6	1.4E-5	5.9E-6	1.7E-4	2.2E-4
71	9.8E-4	2.2E-6	1.1E-6	1.3E-5	5.5E-6	1.6E-4	2.0E-4
72	9.1E-4	2.1E-6	1.1E-6	1.2E-5	5.1E-6	1.5E-4	1.9E-4
73	8.5E-4	1.9E-6	9.9E-7	1.1E-5	4.8E-6	1.4E-4	1.8E-4
74	7.9E-4	1.8E-6	9.1E-7	1.1E-5	4.4E-6	1.3E-4	1.6E-4
75	7.4E-4	1.7E-6	8.5E-7	1.0E-5	4.1E-6	1.2E-4	1.5E-4
76	6.9E-4	1.5E-6	7.9E-7	9.3E-6	3.9E-6	1.1E-4	1.4E-4
77	6.4E-4	1.4E-6	7.3E-7	8.7E-6	3.6E-6	1.0E-4	1.3E-4
78	6.0E-4	1.3E-6	6.8E-7	8.1E-6	3.4E-6	9.5E-5	1.2E-4
79	5.6E-4	1.2E-6	6.3E-7	7.5E-6	3.1E-6	8.9E-5	1.2E-4
80	5.2E-4	1.1E-6	5.8E-7	7.0E-6	2.9E-6	8.3E-5	1.1E-4
81	4.9E-4	1.1E-6	5.4E-7	6.5E-6	2.7E-6	7.7E-5	1.0E-4
82	4.6E-4	9.9E-7	5.0E-7	6.1E-6	2.6E-6	7.2E-5	9.5E-5
83	4.3E-4	9.2E-7	4.7E-7	5.7E-6	2.4E-6	6.7E-5	8.8E-5
84	4.0E-4	8.6E-7	4.4E-7	5.3E-6	2.2E-6	6.2E-5	8.3E-5
85	3.7E-4	8.0E-7	4.0E-7	5.0E-6	2.1E-6	5.8E-5	7.7E-5
86	3.5E-4	7.4E-7	3.8E-7	4.6E-6	1.9E-6	5.4E-5	7.2E-5
87	3.2E-4	6.9E-7	3.5E-7	4.3E-6	1.8E-6	5.0E-5	6.7E-5
88	3.0E-4	6.4E-7	3.2E-7	4.0E-6	1.7E-6	4.7E-5	6.3E-5
89	2.8E-4	5.9E-7	3.0E-7	3.8E-6	1.6E-6	4.4E-5	5.9E-5
90	2.6E-4	5.5E-7	2.8E-7	3.5E-6	1.5E-6	4.1E-5	5.5E-5
91	2.5E-4	5.1E-7	2.6E-7	3.3E-6	1.4E-6	3.8E-5	5.1E-5
92	2.3E-4	4.8E-7	2.4E-7	3.1E-6	1.3E-6	3.6E-5	4.8E-5
93	2.1E-4	4.5E-7	2.3E-7	2.8E-6	1.2E-6	3.3E-5	4.4E-5
94	2.0E-4	4.1E-7	2.1E-7	2.7E-6	1.1E-6	3.1E-5	4.1E-5
95	1.9E-4	3.9E-7	2.0E-7	2.5E-6	1.0E-6	2.9E-5	3.9E-5
96	1.7E-4	3.6E-7	1.8E-7	2.3E-6	9.7E-7	2.7E-5	3.6E-5
97	1.6E-4	3.3E-7	1.7E-7	2.2E-6	9.0E-7	2.5E-5	3.4E-5
98	1.5E-4	3.1E-7	1.6E-7	2.0E-6	8.4E-7	2.3E-5	3.1E-5
99	1.4E-4	2.9E-7	1.5E-7	1.9E-6	7.9E-7	2.2E-5	2.9E-5
100	1.3E-4	2.7E-7	1.4E-7	1.8E-6	7.4E-7	2.0E-5	2.7E-5
110	6.6E-5	1.3E-7	6.7E-8	8.8E-7	3.7E-7	1.0E-5	1.4E-5
120	3.3E-5	6.5E-8	3.3E-8	4.4E-7	1.9E-7	5.1E-6	6.9E-6
130	1.7E-5	3.2E-8	1.6E-8	2.2E-7	9.3E-8	2.6E-6	3.5E-6
140	8.4E-6	1.6E-8	8.0E-9	1.1E-7	4.7E-8	1.3E-6	1.7E-6
150	4.2E-6	7.9E-9	4.0E-9	5.6E-8	2.3E-8	6.7E-7	8.7E-7
160	2.1E-6	3.9E-9	2.0E-9	2.8E-8	1.2E-8	3.4E-7	4.4E-7
170	1.1E-6	1.9E-9	9.8E-10	1.4E-8	5.9E-9	1.8E-7	2.2E-7
180	5.4E-7	9.7E-10	4.9E-10	7.0E-9	3.0E-9	9.0E-8	1.1E-7
190	2.7E-7	4.8E-10	2.4E-10	3.5E-9	1.5E-9	4.6E-8	5.5E-8
200	1.4E-7	2.4E-10	1.2E-10	1.8E-9	7.5E-10	2.4E-8	2.7E-8
210	7.0E-8	1.2E-10	-	8.9E-10	3.8E-10	1.2E-8	1.4E-8
220	3.5E-8	-	-	4.5E-10	1.9E-10	6.4E-9	6.8E-9
230	1.8E-8	-	-	2.3E-10	-	3.3E-9	3.4E-9
240	8.9E-9	-	-	1.1E-10	-	1.7E-9	1.7E-9
250	4.5E-9	-	-	-	-	8.7E-10	8.6E-10
260	2.3E-9	-	-	-	-	4.5E-10	4.3E-10
270	1.2E-9	-	-	-	-	2.3E-10	2.1E-10
280	5.8E-10	-	-	-	-	1.2E-10	1.1E-10
290	2.9E-10	-	-	-	-	-	-
300	1.5E-10	-	-	-	-	-	-
