Radionuclide	Sr-89
Route of Intake	Inhalation
Material	Aerosols Type F, Strontium chloride, sulphate and carbonate, fA=0.25
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
10	2.2E-1	6.6E-3	2.4E-3	5.5E-3	1.3E-3	1.1E-1
11	2.1E-1	5.8E-3	2.1E-3	4.9E-3	1.2E-3	1.1E-1
12	2.0E-1	5.2E-3	1.8E-3	4.4E-3	1.1E-3	1.0E-1
13	1.9E-1	4.7E-3	1.6E-3	4.0E-3	1.0E-3	1.0E-1
14	1.8E-1	4.2E-3	1.5E-3	3.6E-3	9.4E-4	1.0E-1
15	1.7E-1	3.8E-3	1.3E-3	3.3E-3	8.6E-4	1.0E-1
16	1.7E-1	3.5E-3	1.2E-3	3.0E-3	8.0E-4	9.9E-2
17	1.6E-1	3.2E-3	1.1E-3	2.8E-3	7.3E-4	9.7E-2
18	1.5E-1	2.9E-3	9.9E-4	2.6E-3	6.8E-4	9.6E-2
19	1.5E-1	2.7E-3	9.1E-4	2.4E-3	6.2E-4	9.5E-2
20	1.4E-1	2.5E-3	8.4E-4	2.2E-3	5.7E-4	9.4E-2
21	1.4E-1	2.3E-3	7.7E-4	2.0E-3	5.3E-4	9.3E-2
22	1.3E-1	2.1E-3	7.1E-4	1.9E-3	4.9E-4	9.1E-2
23	1.3E-1	2.0E-3	6.6E-4	1.7E-3	4.5E-4	9.0E-2
24	1.3E-1	1.8E-3	6.1E-4	1.6E-3	4.2E-4	8.9E-2
25	1.2E-1	1.7E-3	5.6E-4	1.5E-3	3.9E-4	8.8E-2
26	1.2E-1	1.6E-3	5.2E-4	1.4E-3	3.6E-4	8.7E-2
27	1.1E-1	1.4E-3	4.8E-4	1.3E-3	3.3E-4	8.5E-2
28	1.1E-1	1.3E-3	4.4E-4	1.2E-3	3.1E-4	8.4E-2
29	1.1E-1	1.2E-3	4.1E-4	1.1E-3	2.8E-4	8.3E-2
30	1.0E-1	1.2E-3	3.8E-4	1.0E-3	2.6E-4	8.2E-2
31	1.0E-1	1.1E-3	3.5E-4	9.2E-4	2.4E-4	8.1E-2
32	9.9E-2	9.9E-4	3.3E-4	8.6E-4	2.3E-4	8.0E-2
33	9.6E-2	9.2E-4	3.1E-4	8.0E-4	2.1E-4	7.8E-2
34	9.4E-2	8.6E-4	2.8E-4	7.4E-4	1.9E-4	7.7E-2
35	9.2E-2	8.0E-4	2.6E-4	6.9E-4	1.8E-4	7.6E-2
36	8.9E-2	7.5E-4	2.5E-4	6.4E-4	1.7E-4	7.5E-2
37	8.7E-2	7.0E-4	2.3E-4	5.9E-4	1.6E-4	7.4E-2
38	8.5E-2	6.5E-4	2.1E-4	5.5E-4	1.4E-4	7.3E-2
39	8.3E-2	6.1E-4	2.0E-4	5.2E-4	1.3E-4	7.2E-2
40	8.1E-2	5.7E-4	1.9E-4	4.8E-4	1.3E-4	7.1E-2
41	8.0E-2	5.3E-4	1.7E-4	4.5E-4	1.2E-4	7.0E-2
42	7.8E-2	4.9E-4	1.6E-4	4.2E-4	1.1E-4	6.9E-2
43	7.6E-2	4.6E-4	1.5E-4	3.9E-4	1.0E-4	6.7E-2
44	7.5E-2	4.3E-4	1.4E-4	3.7E-4	9.5E-5	6.6E-2
45	7.3E-2	4.1E-4	1.3E-4	3.4E-4	8.9E-5	6.5E-2
46	7.1E-2	3.8E-4	1.2E-4	3.2E-4	8.3E-5	6.4E-2
47	7.0E-2	3.6E-4	1.2E-4	3.0E-4	7.8E-5	6.3E-2
48	6.9E-2	3.4E-4	1.1E-4	2.8E-4	7.3E-5	6.2E-2
49	6.7E-2	3.2E-4	1.0E-4	2.6E-4	6.8E-5	6.2E-2
50	6.6E-2	3.0E-4	9.7E-5	2.5E-4	6.4E-5	6.1E-2
51	6.5E-2	2.8E-4	9.2E-5	2.3E-4	6.0E-5	6.0E-2
52	6.3E-2	2.7E-4	8.6E-5	2.2E-4	5.7E-5	5.9E-2
53	6.2E-2	2.5E-4	8.1E-5	2.1E-4	5.3E-5	5.8E-2
54	6.1E-2	2.4E-4	7.7E-5	2.0E-4	5.0E-5	5.7E-2
55	6.0E-2	2.3E-4	7.3E-5	1.9E-4	4.7E-5	5.6E-2
56	5.9E-2	2.1E-4	6.9E-5	1.7E-4	4.5E-5	5.5E-2
57	5.8E-2	2.0E-4	6.5E-5	1.7E-4	4.2E-5	5.4E-2
58	5.7E-2	1.9E-4	6.2E-5	1.6E-4	4.0E-5	5.3E-2
59	5.6E-2	1.8E-4	5.9E-5	1.5E-4	3.8E-5	5.3E-2
60	5.5E-2	1.7E-4	5.6E-5	1.4E-4	3.6E-5	5.2E-2
61	5.4E-2	1.7E-4	5.3E-5	1.3E-4	3.4E-5	5.1E-2
62	5.3E-2	1.6E-4	5.1E-5	1.3E-4	3.2E-5	5.0E-2
63	5.2E-2	1.5E-4	4.8E-5	1.2E-4	3.1E-5	4.9E-2
64	5.1E-2	1.4E-4	4.6E-5	1.2E-4	2.9E-5	4.9E-2
65	5.0E-2	1.4E-4	4.4E-5	1.1E-4	2.8E-5	4.8E-2
66	4.9E-2	1.3E-4	4.2E-5	1.1E-4	2.7E-5	4.7E-2
67	4.8E-2	1.3E-4	4.0E-5	1.0E-4	2.5E-5	4.6E-2
68	4.8E-2	1.2E-4	3.9E-5	9.6E-5	2.4E-5	4.6E-2
69	4.7E-2	1.2E-4	3.7E-5	9.2E-5	2.3E-5	4.5E-2
70	4.6E-2	1.1E-4	3.5E-5	8.9E-5	2.2E-5	4.4E-2
71	4.5E-2	1.1E-4	3.4E-5	8.5E-5	2.1E-5	4.4E-2
72	4.5E-2	1.0E-4	3.3E-5	8.2E-5	2.0E-5	4.3E-2
73	4.4E-2	1.0E-4	3.1E-5	7.8E-5	2.0E-5	4.2E-2
74	4.3E-2	9.7E-5	3.0E-5	7.5E-5	1.9E-5	4.2E-2
75	4.2E-2	9.3E-5	2.9E-5	7.3E-5	1.8E-5	4.1E-2
76	4.2E-2	9.0E-5	2.8E-5	7.0E-5	1.7E-5	4.0E-2
77	4.1E-2	8.7E-5	2.7E-5	6.8E-5	1.7E-5	4.0E-2
78	4.0E-2	8.4E-5	2.6E-5	6.5E-5	1.6E-5	3.9E-2
79	4.0E-2	8.1E-5	2.5E-5	6.3E-5	1.6E-5	3.8E-2
80	3.9E-2	7.9E-5	2.5E-5	6.1E-5	1.5E-5	3.8E-2
81	3.8E-2	7.6E-5	2.4E-5	5.9E-5	1.5E-5	3.7E-2
82	3.8E-2	7.4E-5	2.3E-5	5.7E-5	1.4E-5	3.7E-2
83	3.7E-2	7.2E-5	2.2E-5	5.5E-5	1.4E-5	3.6E-2
84	3.7E-2	7.0E-5	2.2E-5	5.4E-5	1.3E-5	3.5E-2
85	3.6E-2	6.8E-5	2.1E-5	5.2E-5	1.3E-5	3.5E-2
86	3.5E-2	6.6E-5	2.0E-5	5.0E-5	1.3E-5	3.4E-2
87	3.5E-2	6.4E-5	2.0E-5	4.9E-5	1.2E-5	3.4E-2
88	3.4E-2	6.2E-5	1.9E-5	4.8E-5	1.2E-5	3.3E-2
89	3.4E-2	6.0E-5	1.9E-5	4.6E-5	1.1E-5	3.3E-2
90	3.3E-2	5.9E-5	1.8E-5	4.5E-5	1.1E-5	3.2E-2
91	3.3E-2	5.7E-5	1.8E-5	4.4E-5	1.1E-5	3.2E-2
92	3.2E-2	5.6E-5	1.7E-5	4.3E-5	1.1E-5	3.1E-2
93	3.2E-2	5.4E-5	1.7E-5	4.1E-5	1.0E-5	3.1E-2
94	3.1E-2	5.3E-5	1.6E-5	4.0E-5	1.0E-5	3.0E-2
95	3.1E-2	5.1E-5	1.6E-5	3.9E-5	9.7E-6	3.0E-2
96	3.0E-2	5.0E-5	1.5E-5	3.8E-5	9.5E-6	2.9E-2
97	3.0E-2	4.9E-5	1.5E-5	3.7E-5	9.3E-6	2.9E-2
98	2.9E-2	4.8E-5	1.5E-5	3.7E-5	9.0E-6	2.8E-2
99	2.9E-2	4.7E-5	1.4E-5	3.6E-5	8.8E-6	2.8E-2
100	2.8E-2	4.5E-5	1.4E-5	3.5E-5	8.6E-6	2.8E-2
110	2.4E-2	3.6E-5	1.1E-5	2.8E-5	6.9E-6	2.4E-2
120	2.1E-2	2.9E-5	8.9E-6	2.2E-5	5.6E-6	2.0E-2
130	1.8E-2	2.4E-5	7.2E-6	1.8E-5	4.6E-6	1.7E-2
140	1.5E-2	1.9E-5	5.9E-6	1.5E-5	3.8E-6	1.5E-2
150	1.3E-2	1.6E-5	4.8E-6	1.2E-5	3.1E-6	1.3E-2
160	1.1E-2	1.3E-5	4.0E-6	1.0E-5	2.6E-6	1.1E-2
170	9.6E-3	1.1E-5	3.2E-6	8.4E-6	2.2E-6	9.4E-3
180	8.3E-3	8.7E-6	2.7E-6	7.0E-6	1.8E-6	8.1E-3
190	7.1E-3	7.1E-6	2.2E-6	5.8E-6	1.5E-6	7.0E-3
200	6.1E-3	5.9E-6	1.8E-6	4.8E-6	1.3E-6	6.0E-3
210	5.3E-3	4.8E-6	1.5E-6	4.0E-6	1.0E-6	5.2E-3
220	4.5E-3	4.0E-6	1.2E-6	3.3E-6	8.8E-7	4.5E-3
230	3.9E-3	3.3E-6	1.0E-6	2.8E-6	7.3E-7	3.8E-3
240	3.4E-3	2.7E-6	8.2E-7	2.3E-6	6.2E-7	3.3E-3
250	2.9E-3	2.2E-6	6.8E-7	1.9E-6	5.2E-7	2.9E-3
260	2.5E-3	1.8E-6	5.6E-7	1.6E-6	4.3E-7	2.5E-3
270	2.2E-3	1.5E-6	4.6E-7	1.3E-6	3.7E-7	2.1E-3
280	1.9E-3	1.3E-6	3.8E-7	1.1E-6	3.1E-7	1.8E-3
290	1.6E-3	1.0E-6	3.2E-7	9.4E-7	2.6E-7	1.6E-3
300	1.4E-3	8.6E-7	2.6E-7	7.8E-7	2.2E-7	1.4E-3
310	1.2E-3	7.1E-7	2.2E-7	6.6E-7	1.9E-7	1.2E-3
320	1.1E-3	5.9E-7	1.8E-7	5.5E-7	1.6E-7	1.0E-3
330	9.1E-4	4.9E-7	1.5E-7	4.7E-7	1.3E-7	9.0E-4
340	7.9E-4	4.1E-7	1.2E-7	3.9E-7	1.1E-7	7.8E-4
350	6.8E-4	3.4E-7	1.0E-7	3.3E-7	9.6E-8	6.7E-4
360	5.9E-4	2.8E-7	8.7E-8	2.8E-7	8.1E-8	5.8E-4
365	5.5E-4	2.6E-7	7.9E-8	2.6E-7	7.5E-8	5.4E-4
370	5.1E-4	2.4E-7	7.2E-8	2.4E-7	6.9E-8	5.1E-4
380	4.4E-4	2.0E-7	6.0E-8	2.0E-7	5.9E-8	4.4E-4
390	3.8E-4	1.7E-7	5.0E-8	1.7E-7	5.0E-8	3.8E-4
400	3.3E-4	1.4E-7	4.2E-8	1.4E-7	4.3E-8	3.3E-4
410	2.9E-4	1.2E-7	3.5E-8	1.2E-7	3.7E-8	2.9E-4
420	2.5E-4	9.7E-8	3.0E-8	1.0E-7	3.1E-8	2.5E-4
430	2.2E-4	8.2E-8	2.5E-8	8.8E-8	2.7E-8	2.1E-4
440	1.9E-4	6.9E-8	2.1E-8	7.5E-8	2.3E-8	1.9E-4
450	1.6E-4	5.8E-8	1.8E-8	6.4E-8	2.0E-8	1.6E-4
460	1.4E-4	4.9E-8	1.5E-8	5.4E-8	1.7E-8	1.4E-4
470	1.2E-4	4.1E-8	1.3E-8	4.6E-8	1.4E-8	1.2E-4
480	1.1E-4	3.5E-8	1.1E-8	4.0E-8	1.2E-8	1.1E-4
490	9.3E-5	2.9E-8	9.0E-9	3.4E-8	1.1E-8	9.2E-5
500	8.1E-5	2.5E-8	7.6E-9	2.9E-8	9.1E-9	8.0E-5
510	7.0E-5	2.1E-8	6.4E-9	2.5E-8	7.8E-9	6.9E-5
520	6.1E-5	1.8E-8	5.4E-9	2.1E-8	6.7E-9	6.0E-5
530	5.3E-5	1.5E-8	4.6E-9	1.8E-8	5.8E-9	5.2E-5
540	4.6E-5	1.3E-8	3.9E-9	1.6E-8	5.0E-9	4.5E-5
550	4.0E-5	1.1E-8	3.3E-9	1.3E-8	4.3E-9	3.9E-5
560	3.5E-5	9.3E-9	2.8E-9	1.2E-8	3.7E-9	3.4E-5
570	3.0E-5	8.0E-9	2.4E-9	9.9E-9	3.2E-9	3.0E-5
580	2.6E-5	6.8E-9	2.1E-9	8.5E-9	2.8E-9	2.6E-5
590	2.3E-5	5.8E-9	1.8E-9	7.3E-9	2.4E-9	2.2E-5
600	2.0E-5	5.0E-9	1.5E-9	6.3E-9	2.1E-9	2.0E-5
610	1.7E-5	4.2E-9	1.3E-9	5.5E-9	1.8E-9	1.7E-5
620	1.5E-5	3.6E-9	1.1E-9	4.7E-9	1.5E-9	1.5E-5
630	1.3E-5	3.1E-9	9.4E-10	4.1E-9	1.3E-9	1.3E-5
640	1.1E-5	2.7E-9	8.1E-10	3.5E-9	1.2E-9	1.1E-5
650	9.8E-6	2.3E-9	6.9E-10	3.0E-9	1.0E-9	9.7E-6
660	8.5E-6	2.0E-9	6.0E-10	2.6E-9	8.6E-10	8.4E-6
670	7.4E-6	1.7E-9	5.1E-10	2.3E-9	7.5E-10	7.3E-6
680	6.4E-6	1.4E-9	4.4E-10	1.9E-9	6.4E-10	6.4E-6
690	5.6E-6	1.2E-9	3.8E-10	1.7E-9	5.6E-10	5.5E-6
700	4.9E-6	1.1E-9	3.3E-10	1.5E-9	4.8E-10	4.8E-6
710	4.2E-6	9.2E-10	2.8E-10	1.3E-9	4.2E-10	4.2E-6
720	3.7E-6	7.9E-10	2.4E-10	1.1E-9	3.6E-10	3.6E-6
730	3.2E-6	6.8E-10	2.1E-10	9.4E-10	3.1E-10	3.2E-6
740	2.8E-6	5.9E-10	1.8E-10	5.5E-10	2.7E-10	2.7E-6
750	2.4E-6	5.1E-10	1.5E-10	4.7E-10	2.4E-10	2.4E-6
760	2.1E-6	4.4E-10	1.3E-10	4.1E-10	2.0E-10	2.1E-6
770	1.8E-6	3.8E-10	1.1E-10	3.6E-10	1.8E-10	1.8E-6
780	1.6E-6	3.3E-10	-	3.1E-10	1.5E-10	1.6E-6
790	1.4E-6	2.8E-10	-	2.7E-10	1.3E-10	1.4E-6
800	1.2E-6	2.4E-10	-	2.3E-10	1.2E-10	1.2E-6
810	1.0E-6	2.1E-10	-	2.0E-10	1.0E-10	1.0E-6
820	9.1E-7	1.8E-10	-	1.8E-10	-	9.0E-7
830	7.9E-7	1.6E-10	-	1.5E-10	-	7.8E-7
840	6.9E-7	1.4E-10	-	1.3E-10	-	6.8E-7
850	6.0E-7	1.2E-10	-	1.1E-10	-	5.9E-7
860	5.2E-7	1.0E-10	-	-	-	5.1E-7
870	4.5E-7	-	-	-	-	4.5E-7
880	3.9E-7	-	-	-	-	3.9E-7
890	3.4E-7	-	-	-	-	3.4E-7
900	3.0E-7	-	-	-	-	2.9E-7
910	2.6E-7	-	-	-	-	2.6E-7
920	2.2E-7	-	-	-	-	2.2E-7
930	1.9E-7	-	-	-	-	1.9E-7
940	1.7E-7	-	-	-	-	1.7E-7
950	1.5E-7	-	-	-	-	1.5E-7
960	1.3E-7	-	-	-	-	1.3E-7
970	1.1E-7	-	-	-	-	1.1E-7
980	9.7E-8	-	-	-	-	9.6E-8
990	8.4E-8	-	-	-	-	8.3E-8
1000	7.3E-8	-	-	-	-	7.3E-8
1010	6.4E-8	-	-	-	-	6.3E-8
1020	5.5E-8	-	-	-	-	5.5E-8
1030	4.8E-8	-	-	-	-	4.8E-8
1040	4.2E-8	-	-	-	-	4.2E-8
1050	3.6E-8	-	-	-	-	3.6E-8
1060	3.2E-8	-	-	-	-	3.1E-8
1070	2.8E-8	-	-	-	-	2.7E-8
1080	2.4E-8	-	-	-	-	2.4E-8
1090	2.1E-8	-	-	-	-	2.1E-8
1095	1.9E-8	-	-	-	-	1.9E-8
1100	1.8E-8	-	-	-	-	1.8E-8
1200	4.5E-9	-	-	-	-	4.5E-9
1300	1.1E-9	-	-	-	-	1.1E-9
1400	2.8E-10	-	-	-	-	2.7E-10
