Radionuclide	Ag-105
Route of Intake	Inhalation
Material	Aerosols Type F, Silver nitrate, fA=5E-2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
6.5	2.0E-1	-	-	5.7E-3	1.1E-3	1.9E-2	1.3E-1
7	2.0E-1	1.2E-4	3.1E-3	5.5E-3	9.6E-4	1.9E-2	1.3E-1
7.5	1.9E-1	-	-	5.3E-3	8.7E-4	1.9E-2	1.3E-1
8	1.9E-1	1.2E-4	2.7E-3	5.2E-3	8.1E-4	2.0E-2	1.3E-1
8.5	1.9E-1	-	-	5.1E-3	7.7E-4	2.0E-2	1.3E-1
9	1.9E-1	1.1E-4	2.6E-3	4.9E-3	7.4E-4	2.0E-2	1.3E-1
9.5	1.8E-1	-	-	4.8E-3	7.1E-4	2.0E-2	1.2E-1
10	1.8E-1	1.1E-4	2.4E-3	4.7E-3	6.9E-4	2.0E-2	1.2E-1
11	1.7E-1	1.0E-4	2.3E-3	4.6E-3	6.6E-4	2.0E-2	1.2E-1
12	1.7E-1	9.9E-5	2.2E-3	4.4E-3	6.3E-4	2.0E-2	1.1E-1
13	1.6E-1	9.6E-5	2.2E-3	4.2E-3	6.1E-4	2.0E-2	1.1E-1
14	1.6E-1	9.2E-5	2.1E-3	4.1E-3	5.9E-4	2.0E-2	1.1E-1
15	1.5E-1	8.9E-5	2.0E-3	3.9E-3	5.7E-4	2.0E-2	1.0E-1
16	1.5E-1	8.6E-5	1.9E-3	3.8E-3	5.5E-4	2.0E-2	9.9E-2
17	1.5E-1	8.4E-5	1.9E-3	3.7E-3	5.3E-4	2.0E-2	9.6E-2
18	1.4E-1	8.1E-5	1.8E-3	3.6E-3	5.1E-4	2.0E-2	9.3E-2
19	1.4E-1	7.8E-5	1.8E-3	3.5E-3	4.9E-4	2.0E-2	9.0E-2
20	1.3E-1	7.6E-5	1.7E-3	3.3E-3	4.8E-4	1.9E-2	8.7E-2
21	1.3E-1	7.4E-5	1.7E-3	3.2E-3	4.6E-4	1.9E-2	8.4E-2
22	1.2E-1	7.1E-5	1.6E-3	3.1E-3	4.5E-4	1.9E-2	8.2E-2
23	1.2E-1	6.9E-5	1.6E-3	3.0E-3	4.3E-4	1.8E-2	7.9E-2
24	1.2E-1	6.7E-5	1.5E-3	2.9E-3	4.2E-4	1.8E-2	7.6E-2
25	1.1E-1	6.5E-5	1.5E-3	2.9E-3	4.1E-4	1.8E-2	7.4E-2
26	1.1E-1	6.3E-5	1.4E-3	2.8E-3	3.9E-4	1.7E-2	7.2E-2
27	1.1E-1	6.1E-5	1.4E-3	2.7E-3	3.8E-4	1.7E-2	6.9E-2
28	1.0E-1	5.9E-5	1.3E-3	2.6E-3	3.7E-4	1.7E-2	6.7E-2
29	1.0E-1	5.7E-5	1.3E-3	2.5E-3	3.6E-4	1.6E-2	6.5E-2
30	9.8E-2	5.5E-5	1.2E-3	2.4E-3	3.5E-4	1.6E-2	6.3E-2
31	9.5E-2	5.4E-5	1.2E-3	2.4E-3	3.4E-4	1.6E-2	6.1E-2
32	9.2E-2	5.2E-5	1.2E-3	2.3E-3	3.3E-4	1.5E-2	5.9E-2
33	9.0E-2	5.1E-5	1.1E-3	2.2E-3	3.2E-4	1.5E-2	5.8E-2
34	8.7E-2	4.9E-5	1.1E-3	2.2E-3	3.1E-4	1.5E-2	5.6E-2
35	8.4E-2	4.8E-5	1.1E-3	2.1E-3	3.0E-4	1.4E-2	5.4E-2
36	8.2E-2	4.6E-5	1.0E-3	2.0E-3	2.9E-4	1.4E-2	5.2E-2
37	8.0E-2	4.5E-5	1.0E-3	2.0E-3	2.8E-4	1.3E-2	5.1E-2
38	7.7E-2	4.3E-5	9.7E-4	1.9E-3	2.7E-4	1.3E-2	4.9E-2
39	7.5E-2	4.2E-5	9.4E-4	1.9E-3	2.6E-4	1.3E-2	4.8E-2
40	7.3E-2	4.1E-5	9.2E-4	1.8E-3	2.6E-4	1.2E-2	4.6E-2
41	7.1E-2	4.0E-5	8.9E-4	1.7E-3	2.5E-4	1.2E-2	4.5E-2
42	6.9E-2	3.8E-5	8.6E-4	1.7E-3	2.4E-4	1.2E-2	4.4E-2
43	6.7E-2	3.7E-5	8.4E-4	1.6E-3	2.3E-4	1.2E-2	4.2E-2
44	6.5E-2	3.6E-5	8.1E-4	1.6E-3	2.3E-4	1.1E-2	4.1E-2
45	6.3E-2	3.5E-5	7.9E-4	1.5E-3	2.2E-4	1.1E-2	4.0E-2
46	6.1E-2	3.4E-5	7.6E-4	1.5E-3	2.1E-4	1.1E-2	3.9E-2
47	5.9E-2	3.3E-5	7.4E-4	1.5E-3	2.1E-4	1.0E-2	3.7E-2
48	5.7E-2	3.2E-5	7.2E-4	1.4E-3	2.0E-4	1.0E-2	3.6E-2
49	5.6E-2	3.1E-5	7.0E-4	1.4E-3	1.9E-4	9.8E-3	3.5E-2
50	5.4E-2	3.0E-5	6.8E-4	1.3E-3	1.9E-4	9.5E-3	3.4E-2
51	5.2E-2	2.9E-5	6.6E-4	1.3E-3	1.8E-4	9.2E-3	3.3E-2
52	5.1E-2	2.8E-5	6.4E-4	1.3E-3	1.8E-4	9.0E-3	3.2E-2
53	4.9E-2	2.8E-5	6.2E-4	1.2E-3	1.7E-4	8.7E-3	3.1E-2
54	4.8E-2	2.7E-5	6.0E-4	1.2E-3	1.7E-4	8.5E-3	3.0E-2
55	4.7E-2	2.6E-5	5.8E-4	1.1E-3	1.6E-4	8.2E-3	2.9E-2
56	4.5E-2	2.5E-5	5.7E-4	1.1E-3	1.6E-4	8.0E-3	2.9E-2
57	4.4E-2	2.4E-5	5.5E-4	1.1E-3	1.5E-4	7.8E-3	2.8E-2
58	4.3E-2	2.4E-5	5.3E-4	1.0E-3	1.5E-4	7.6E-3	2.7E-2
59	4.1E-2	2.3E-5	5.2E-4	1.0E-3	1.4E-4	7.3E-3	2.6E-2
60	4.0E-2	2.2E-5	5.0E-4	9.8E-4	1.4E-4	7.1E-3	2.5E-2
61	3.9E-2	2.2E-5	4.9E-4	9.6E-4	1.4E-4	6.9E-3	2.5E-2
62	3.8E-2	2.1E-5	4.7E-4	9.3E-4	1.3E-4	6.7E-3	2.4E-2
63	3.7E-2	2.0E-5	4.6E-4	9.0E-4	1.3E-4	6.5E-3	2.3E-2
64	3.6E-2	2.0E-5	4.5E-4	8.7E-4	1.2E-4	6.4E-3	2.2E-2
65	3.5E-2	1.9E-5	4.3E-4	8.5E-4	1.2E-4	6.2E-3	2.2E-2
66	3.4E-2	1.9E-5	4.2E-4	8.2E-4	1.2E-4	6.0E-3	2.1E-2
67	3.3E-2	1.8E-5	4.1E-4	8.0E-4	1.1E-4	5.8E-3	2.1E-2
68	3.2E-2	1.8E-5	4.0E-4	7.7E-4	1.1E-4	5.7E-3	2.0E-2
69	3.1E-2	1.7E-5	3.8E-4	7.5E-4	1.1E-4	5.5E-3	1.9E-2
70	3.0E-2	1.7E-5	3.7E-4	7.3E-4	1.0E-4	5.3E-3	1.9E-2
71	2.9E-2	1.6E-5	3.6E-4	7.1E-4	1.0E-4	5.2E-3	1.8E-2
72	2.8E-2	1.6E-5	3.5E-4	6.9E-4	9.8E-5	5.0E-3	1.8E-2
73	2.7E-2	1.5E-5	3.4E-4	6.7E-4	9.5E-5	4.9E-3	1.7E-2
74	2.6E-2	1.5E-5	3.3E-4	6.5E-4	9.2E-5	4.7E-3	1.7E-2
75	2.6E-2	1.4E-5	3.2E-4	6.3E-4	8.9E-5	4.6E-3	1.6E-2
76	2.5E-2	1.4E-5	3.1E-4	6.1E-4	8.7E-5	4.5E-3	1.6E-2
77	2.4E-2	1.3E-5	3.0E-4	5.9E-4	8.4E-5	4.3E-3	1.5E-2
78	2.3E-2	1.3E-5	2.9E-4	5.8E-4	8.2E-5	4.2E-3	1.5E-2
79	2.3E-2	1.3E-5	2.8E-4	5.6E-4	7.9E-5	4.1E-3	1.4E-2
80	2.2E-2	1.2E-5	2.8E-4	5.4E-4	7.7E-5	4.0E-3	1.4E-2
81	2.1E-2	1.2E-5	2.7E-4	5.3E-4	7.5E-5	3.9E-3	1.4E-2
82	2.1E-2	1.2E-5	2.6E-4	5.1E-4	7.2E-5	3.7E-3	1.3E-2
83	2.0E-2	1.1E-5	2.5E-4	5.0E-4	7.0E-5	3.6E-3	1.3E-2
84	2.0E-2	1.1E-5	2.5E-4	4.8E-4	6.8E-5	3.5E-3	1.2E-2
85	1.9E-2	1.1E-5	2.4E-4	4.7E-4	6.6E-5	3.4E-3	1.2E-2
86	1.8E-2	1.0E-5	2.3E-4	4.5E-4	6.4E-5	3.3E-3	1.2E-2
87	1.8E-2	1.0E-5	2.2E-4	4.4E-4	6.2E-5	3.2E-3	1.1E-2
88	1.7E-2	9.7E-6	2.2E-4	4.3E-4	6.1E-5	3.1E-3	1.1E-2
89	1.7E-2	9.4E-6	2.1E-4	4.1E-4	5.9E-5	3.0E-3	1.1E-2
90	1.6E-2	9.2E-6	2.1E-4	4.0E-4	5.7E-5	3.0E-3	1.0E-2
91	1.6E-2	8.9E-6	2.0E-4	3.9E-4	5.5E-5	2.9E-3	1.0E-2
92	1.5E-2	8.6E-6	1.9E-4	3.8E-4	5.4E-5	2.8E-3	9.7E-3
93	1.5E-2	8.4E-6	1.9E-4	3.7E-4	5.2E-5	2.7E-3	9.5E-3
94	1.5E-2	8.1E-6	1.8E-4	3.6E-4	5.1E-5	2.6E-3	9.2E-3
95	1.4E-2	7.9E-6	1.8E-4	3.5E-4	4.9E-5	2.5E-3	8.9E-3
96	1.4E-2	7.7E-6	1.7E-4	3.4E-4	4.8E-5	2.5E-3	8.6E-3
97	1.3E-2	7.4E-6	1.7E-4	3.3E-4	4.6E-5	2.4E-3	8.4E-3
98	1.3E-2	7.2E-6	1.6E-4	3.2E-4	4.5E-5	2.3E-3	8.1E-3
99	1.3E-2	7.0E-6	1.6E-4	3.1E-4	4.4E-5	2.3E-3	7.9E-3
100	1.2E-2	6.8E-6	1.5E-4	3.0E-4	4.2E-5	2.2E-3	7.7E-3
110	9.1E-3	5.0E-6	1.1E-4	2.2E-4	3.1E-5	1.6E-3	5.7E-3
120	6.7E-3	3.7E-6	8.4E-5	1.6E-4	2.3E-5	1.2E-3	4.2E-3
130	5.0E-3	2.8E-6	6.2E-5	1.2E-4	1.7E-5	9.0E-4	3.1E-3
140	3.7E-3	2.1E-6	4.6E-5	9.1E-5	1.3E-5	6.7E-4	2.3E-3
150	2.8E-3	1.5E-6	3.4E-5	6.8E-5	9.6E-6	5.0E-4	1.7E-3
160	2.0E-3	1.1E-6	2.6E-5	5.0E-5	7.1E-6	3.7E-4	1.3E-3
170	1.5E-3	8.5E-7	1.9E-5	3.7E-5	5.3E-6	2.7E-4	9.6E-4
180	1.1E-3	6.3E-7	1.4E-5	2.8E-5	3.9E-6	2.0E-4	7.1E-4
190	8.4E-4	4.7E-7	1.0E-5	2.1E-5	2.9E-6	1.5E-4	5.3E-4
200	6.2E-4	3.5E-7	7.8E-6	1.5E-5	2.2E-6	1.1E-4	3.9E-4
210	4.6E-4	2.6E-7	5.8E-6	1.1E-5	1.6E-6	8.3E-5	2.9E-4
220	3.4E-4	1.9E-7	4.3E-6	8.4E-6	1.2E-6	6.2E-5	2.2E-4
230	2.6E-4	1.4E-7	3.2E-6	6.2E-6	8.9E-7	4.6E-5	1.6E-4
240	1.9E-4	1.1E-7	2.4E-6	4.6E-6	6.6E-7	3.4E-5	1.2E-4
250	1.4E-4	7.8E-8	1.8E-6	3.4E-6	4.9E-7	2.5E-5	8.9E-5
260	1.0E-4	5.8E-8	1.3E-6	2.6E-6	3.6E-7	1.9E-5	6.6E-5
270	7.8E-5	4.3E-8	9.7E-7	1.9E-6	2.7E-7	1.4E-5	4.9E-5
280	5.8E-5	3.2E-8	7.2E-7	1.4E-6	2.0E-7	1.0E-5	3.6E-5
290	4.3E-5	2.4E-8	5.3E-7	1.0E-6	1.5E-7	7.7E-6	2.7E-5
300	3.2E-5	1.8E-8	4.0E-7	7.8E-7	1.1E-7	5.7E-6	2.0E-5
310	2.4E-5	1.3E-8	2.9E-7	5.8E-7	8.2E-8	4.3E-6	1.5E-5
320	1.8E-5	9.8E-9	2.2E-7	4.3E-7	6.1E-8	3.2E-6	1.1E-5
330	1.3E-5	7.3E-9	1.6E-7	3.2E-7	4.5E-8	2.3E-6	8.2E-6
340	9.7E-6	5.4E-9	1.2E-7	2.4E-7	3.4E-8	1.7E-6	6.1E-6
350	7.2E-6	4.0E-9	9.0E-8	1.8E-7	2.5E-8	1.3E-6	4.5E-6
360	5.3E-6	3.0E-9	6.7E-8	1.3E-7	1.9E-8	9.6E-7	3.4E-6
365	4.6E-6	2.6E-9	5.7E-8	1.1E-7	1.6E-8	8.3E-7	2.9E-6
370	4.0E-6	2.2E-9	4.9E-8	9.7E-8	1.4E-8	7.1E-7	2.5E-6
380	2.9E-6	1.6E-9	3.7E-8	7.2E-8	1.0E-8	5.3E-7	1.9E-6
390	2.2E-6	1.2E-9	2.7E-8	5.4E-8	7.6E-9	3.9E-7	1.4E-6
400	1.6E-6	9.1E-10	2.0E-8	4.0E-8	5.6E-9	2.9E-7	1.0E-6
410	1.2E-6	6.7E-10	1.5E-8	3.0E-8	4.2E-9	2.2E-7	7.6E-7
420	9.0E-7	5.0E-10	1.1E-8	2.2E-8	3.1E-9	1.6E-7	5.6E-7
430	6.7E-7	3.7E-10	8.3E-9	1.6E-8	2.3E-9	1.2E-7	4.2E-7
440	4.9E-7	2.8E-10	6.2E-9	1.2E-8	1.7E-9	8.9E-8	3.1E-7
450	3.7E-7	2.0E-10	4.6E-9	9.0E-9	1.3E-9	6.6E-8	2.3E-7
460	2.7E-7	1.5E-10	3.4E-9	6.7E-9	9.5E-10	4.9E-8	1.7E-7
470	2.0E-7	1.1E-10	2.5E-9	5.0E-9	7.0E-10	3.6E-8	1.3E-7
480	1.5E-7	-	1.9E-9	3.7E-9	5.2E-10	2.7E-8	9.5E-8
490	1.1E-7	-	1.4E-9	2.7E-9	3.9E-10	2.0E-8	7.0E-8
500	8.3E-8	-	1.0E-9	2.0E-9	2.9E-10	1.5E-8	5.2E-8
510	6.2E-8	-	7.7E-10	1.5E-9	2.1E-10	1.1E-8	3.9E-8
520	4.6E-8	-	5.7E-10	1.1E-9	1.6E-10	8.2E-9	2.9E-8
530	3.4E-8	-	4.2E-10	8.3E-10	1.2E-10	6.1E-9	2.1E-8
540	2.5E-8	-	3.2E-10	6.2E-10	-	4.5E-9	1.6E-8
550	1.9E-8	-	2.3E-10	4.6E-10	-	3.4E-9	1.2E-8
560	1.4E-8	-	1.7E-10	3.4E-10	-	2.5E-9	8.8E-9
570	1.0E-8	-	1.3E-10	2.5E-10	-	1.9E-9	6.5E-9
580	7.7E-9	-	-	1.9E-10	-	1.4E-9	4.8E-9
590	5.7E-9	-	-	1.4E-10	-	1.0E-9	3.6E-9
600	4.2E-9	-	-	1.0E-10	-	7.6E-10	2.7E-9
610	3.1E-9	-	-	-	-	5.7E-10	2.0E-9
620	2.3E-9	-	-	-	-	4.2E-10	1.5E-9
630	1.7E-9	-	-	-	-	3.1E-10	1.1E-9
640	1.3E-9	-	-	-	-	2.3E-10	8.1E-10
650	9.6E-10	-	-	-	-	1.7E-10	6.0E-10
660	7.1E-10	-	-	-	-	1.3E-10	4.5E-10
670	5.3E-10	-	-	-	-	-	3.3E-10
680	3.9E-10	-	-	-	-	-	2.5E-10
690	2.9E-10	-	-	-	-	-	1.8E-10
700	2.2E-10	-	-	-	-	-	1.4E-10
710	1.6E-10	-	-	-	-	-	1.0E-10
720	1.2E-10	-	-	-	-	-	-
