Radionuclide	Tc-96
Route of Intake	Inhalation
Material	Aerosols Type F, Pertechnetate, Tc-DTPA, fA=0.9
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
4.75	7.5E-2	-	-	2.8E-2	5.0E-4	2.9E-4	6.4E-3	2.6E-3
5	6.7E-2	4.1E-3	2.1E-2	2.4E-2	4.6E-4	2.6E-4	5.7E-3	2.4E-3
5.5	5.3E-2	-	-	1.8E-2	3.7E-4	2.0E-4	4.6E-3	2.1E-3
6	4.3E-2	2.6E-3	1.1E-2	1.4E-2	3.1E-4	1.6E-4	3.8E-3	1.9E-3
6.5	3.5E-2	-	-	1.1E-2	2.5E-4	1.3E-4	3.1E-3	1.7E-3
7	2.9E-2	1.7E-3	6.0E-3	8.7E-3	2.1E-4	1.0E-4	2.5E-3	1.5E-3
7.5	2.4E-2	-	-	7.0E-3	1.7E-4	8.2E-5	2.0E-3	1.3E-3
8	2.0E-2	1.1E-3	3.6E-3	5.6E-3	1.4E-4	6.6E-5	1.7E-3	1.2E-3
8.5	1.7E-2	-	-	4.5E-3	1.2E-4	5.3E-5	1.4E-3	1.0E-3
9	1.4E-2	7.3E-4	2.3E-3	3.6E-3	9.8E-5	4.3E-5	1.1E-3	9.3E-4
9.5	1.2E-2	-	-	2.9E-3	8.2E-5	3.5E-5	9.1E-4	8.3E-4
10	1.0E-2	4.8E-4	1.5E-3	2.4E-3	6.9E-5	2.8E-5	7.5E-4	7.5E-4
11	7.2E-3	3.2E-4	9.5E-4	1.6E-3	4.9E-5	1.9E-5	5.2E-4	6.0E-4
12	5.3E-3	2.1E-4	6.2E-4	1.0E-3	3.6E-5	1.2E-5	3.6E-4	4.9E-4
13	4.0E-3	1.4E-4	4.1E-4	7.0E-4	2.6E-5	8.3E-6	2.6E-4	4.0E-4
14	3.0E-3	9.7E-5	2.7E-4	4.7E-4	2.0E-5	5.6E-6	1.9E-4	3.2E-4
15	2.3E-3	6.6E-5	1.8E-4	3.2E-4	1.5E-5	3.9E-6	1.4E-4	2.6E-4
16	1.8E-3	4.6E-5	1.2E-4	2.2E-4	1.1E-5	2.7E-6	1.0E-4	2.1E-4
17	1.4E-3	3.3E-5	8.5E-5	1.6E-4	8.9E-6	1.9E-6	7.9E-5	1.8E-4
18	1.1E-3	2.3E-5	5.9E-5	1.1E-4	7.0E-6	1.4E-6	6.1E-5	1.4E-4
19	8.8E-4	1.7E-5	4.1E-5	8.2E-5	5.5E-6	9.8E-7	4.8E-5	1.2E-4
20	7.1E-4	1.2E-5	3.0E-5	6.0E-5	4.4E-6	7.2E-7	3.9E-5	9.7E-5
21	5.7E-4	9.4E-6	2.1E-5	4.5E-5	3.5E-6	5.4E-7	3.1E-5	8.0E-5
22	4.6E-4	7.1E-6	1.6E-5	3.4E-5	2.9E-6	4.1E-7	2.6E-5	6.5E-5
23	3.8E-4	5.5E-6	1.2E-5	2.6E-5	2.3E-6	3.2E-7	2.1E-5	5.4E-5
24	3.1E-4	4.3E-6	8.9E-6	2.0E-5	1.9E-6	2.5E-7	1.8E-5	4.4E-5
25	2.5E-4	3.3E-6	6.8E-6	1.6E-5	1.5E-6	1.9E-7	1.5E-5	3.6E-5
26	2.1E-4	2.6E-6	5.3E-6	1.3E-5	1.2E-6	1.5E-7	1.2E-5	3.0E-5
27	1.7E-4	2.1E-6	4.2E-6	1.0E-5	1.0E-6	1.2E-7	1.0E-5	2.5E-5
28	1.4E-4	1.7E-6	3.3E-6	8.1E-6	8.4E-7	9.8E-8	8.6E-6	2.0E-5
29	1.1E-4	1.4E-6	2.6E-6	6.5E-6	6.9E-7	7.9E-8	7.3E-6	1.7E-5
30	9.4E-5	1.1E-6	2.1E-6	5.3E-6	5.6E-7	6.4E-8	6.1E-6	1.4E-5
31	7.7E-5	9.0E-7	1.7E-6	4.3E-6	4.6E-7	5.2E-8	5.2E-6	1.1E-5
32	6.4E-5	7.4E-7	1.4E-6	3.5E-6	3.8E-7	4.3E-8	4.4E-6	9.2E-6
33	5.2E-5	6.0E-7	1.1E-6	2.8E-6	3.1E-7	3.5E-8	3.7E-6	7.6E-6
34	4.3E-5	4.9E-7	9.1E-7	2.3E-6	2.6E-7	2.8E-8	3.1E-6	6.3E-6
35	3.6E-5	4.0E-7	7.4E-7	1.9E-6	2.1E-7	2.3E-8	2.7E-6	5.1E-6
36	2.9E-5	3.3E-7	6.1E-7	1.6E-6	1.7E-7	1.9E-8	2.3E-6	4.2E-6
37	2.4E-5	2.7E-7	5.0E-7	1.3E-6	1.4E-7	1.6E-8	1.9E-6	3.5E-6
38	2.0E-5	2.2E-7	4.1E-7	1.0E-6	1.2E-7	1.3E-8	1.6E-6	2.9E-6
39	1.6E-5	1.8E-7	3.3E-7	8.6E-7	9.6E-8	1.1E-8	1.4E-6	2.4E-6
40	1.4E-5	1.5E-7	2.7E-7	7.1E-7	7.9E-8	8.7E-9	1.2E-6	1.9E-6
41	1.1E-5	1.2E-7	2.3E-7	5.8E-7	6.5E-8	7.1E-9	9.8E-7	1.6E-6
42	9.2E-6	1.0E-7	1.8E-7	4.8E-7	5.4E-8	5.9E-9	8.4E-7	1.3E-6
43	7.6E-6	8.3E-8	1.5E-7	3.9E-7	4.4E-8	4.8E-9	7.1E-7	1.1E-6
44	6.3E-6	6.8E-8	1.2E-7	3.2E-7	3.6E-8	4.0E-9	6.0E-7	8.9E-7
45	5.2E-6	5.6E-8	1.0E-7	2.7E-7	3.0E-8	3.3E-9	5.1E-7	7.3E-7
46	4.3E-6	4.6E-8	8.4E-8	2.2E-7	2.5E-8	2.7E-9	4.3E-7	6.0E-7
47	3.5E-6	3.8E-8	6.9E-8	1.8E-7	2.0E-8	2.2E-9	3.7E-7	4.9E-7
48	2.9E-6	3.1E-8	5.7E-8	1.5E-7	1.7E-8	1.8E-9	3.1E-7	4.1E-7
49	2.4E-6	2.6E-8	4.7E-8	1.2E-7	1.4E-8	1.5E-9	2.6E-7	3.3E-7
50	2.0E-6	2.1E-8	3.9E-8	1.0E-7	1.1E-8	1.2E-9	2.2E-7	2.8E-7
51	1.6E-6	1.7E-8	3.2E-8	8.2E-8	9.2E-9	1.0E-9	1.9E-7	2.3E-7
52	1.3E-6	1.4E-8	2.6E-8	6.8E-8	7.6E-9	8.3E-10	1.6E-7	1.9E-7
53	1.1E-6	1.2E-8	2.1E-8	5.6E-8	6.2E-9	6.8E-10	1.4E-7	1.5E-7
54	9.2E-7	9.7E-9	1.8E-8	4.6E-8	5.1E-9	5.6E-10	1.2E-7	1.3E-7
55	7.6E-7	8.0E-9	1.5E-8	3.8E-8	4.2E-9	4.6E-10	9.9E-8	1.0E-7
56	6.3E-7	6.6E-9	1.2E-8	3.1E-8	3.5E-9	3.8E-10	8.4E-8	8.5E-8
57	5.2E-7	5.4E-9	9.8E-9	2.6E-8	2.9E-9	3.1E-10	7.1E-8	7.0E-8
58	4.3E-7	4.4E-9	8.1E-9	2.1E-8	2.4E-9	2.6E-10	6.0E-8	5.8E-8
59	3.5E-7	3.7E-9	6.7E-9	1.7E-8	1.9E-9	2.1E-10	5.1E-8	4.7E-8
60	2.9E-7	3.0E-9	5.5E-9	1.4E-8	1.6E-9	1.7E-10	4.4E-8	3.9E-8
61	2.4E-7	2.5E-9	4.5E-9	1.2E-8	1.3E-9	1.4E-10	3.7E-8	3.2E-8
62	2.0E-7	2.0E-9	3.7E-9	9.5E-9	1.1E-9	1.2E-10	3.1E-8	2.6E-8
63	1.7E-7	1.7E-9	3.1E-9	7.8E-9	8.9E-10	-	2.7E-8	2.2E-8
64	1.4E-7	1.4E-9	2.5E-9	6.4E-9	7.3E-10	-	2.3E-8	1.8E-8
65	1.1E-7	1.1E-9	2.1E-9	5.3E-9	6.0E-10	-	1.9E-8	1.5E-8
66	9.4E-8	9.3E-10	1.7E-9	4.3E-9	4.9E-10	-	1.6E-8	1.2E-8
67	7.7E-8	7.7E-10	1.4E-9	3.6E-9	4.1E-10	-	1.4E-8	1.0E-8
68	6.4E-8	6.3E-10	1.2E-9	2.8E-9	3.3E-10	-	1.2E-8	8.2E-9
69	5.3E-8	5.2E-10	9.5E-10	2.3E-9	2.8E-10	-	1.0E-8	6.7E-9
70	4.4E-8	4.3E-10	7.8E-10	1.9E-9	2.3E-10	-	8.5E-9	5.5E-9
71	3.6E-8	3.5E-10	6.4E-10	1.6E-9	1.9E-10	-	7.2E-9	4.6E-9
72	3.0E-8	2.9E-10	5.3E-10	1.3E-9	1.5E-10	-	5.9E-9	3.8E-9
73	2.5E-8	2.4E-10	4.3E-10	1.1E-9	1.3E-10	-	5.1E-9	3.1E-9
74	2.1E-8	2.0E-10	3.6E-10	8.8E-10	1.0E-10	-	4.3E-9	2.5E-9
75	1.7E-8	1.6E-10	2.9E-10	7.3E-10	-	-	3.7E-9	2.1E-9
76	1.4E-8	1.3E-10	2.4E-10	6.0E-10	-	-	3.1E-9	1.7E-9
77	1.2E-8	1.1E-10	2.0E-10	2.0E-10	-	-	2.6E-9	1.4E-9
78	9.7E-9	-	1.6E-10	-	-	-	2.2E-9	1.2E-9
79	8.1E-9	-	1.3E-10	-	-	-	1.9E-9	9.6E-10
80	6.7E-9	-	1.1E-10	-	-	-	1.6E-9	7.9E-10
81	5.5E-9	-	-	-	-	-	1.4E-9	6.5E-10
82	4.6E-9	-	-	-	-	-	1.2E-9	5.3E-10
83	3.8E-9	-	-	-	-	-	1.0E-9	4.4E-10
84	3.2E-9	-	-	-	-	-	8.5E-10	3.6E-10
85	2.6E-9	-	-	-	-	-	7.2E-10	3.0E-10
86	2.2E-9	-	-	-	-	-	6.1E-10	2.4E-10
87	1.8E-9	-	-	-	-	-	5.2E-10	2.0E-10
88	1.5E-9	-	-	-	-	-	4.4E-10	1.7E-10
89	1.3E-9	-	-	-	-	-	3.8E-10	1.4E-10
90	1.0E-9	-	-	-	-	-	3.2E-10	1.1E-10
91	8.6E-10	-	-	-	-	-	2.7E-10	-
92	7.2E-10	-	-	-	-	-	2.3E-10	-
93	6.0E-10	-	-	-	-	-	1.0E-10	-
94	5.0E-10	-	-	-	-	-	-	-
95	4.1E-10	-	-	-	-	-	-	-
96	3.4E-10	-	-	-	-	-	-	-
97	2.9E-10	-	-	-	-	-	-	-
98	2.4E-10	-	-	-	-	-	-	-
99	2.0E-10	-	-	-	-	-	-	-
100	1.7E-10	-	-	-	-	-	-	-
